,DATE,ORG,PER,LOC
bam,0.9749329090118408,0.9743557572364807,0.988614022731781,0.9534730315208435
bbj,0.967301070690155,0.9856732487678528,0.9908461570739746,0.9333754181861877
ewe,0.9620313048362732,0.9877163171768188,0.9894267916679382,0.9661381244659424
fon,0.9571550488471985,0.9850904941558838,0.9845684170722961,0.9241551160812378
hau,0.9592465162277222,0.9697904586791992,0.9857401847839355,0.9282639622688293
ibo,0.9867063760757446,0.9897283911705017,0.989936113357544,0.9651873111724854
kin,0.9857429265975952,0.9915875792503357,0.9872450828552246,0.982872724533081
lug,0.9604822397232056,0.9545415639877319,0.995972752571106,0.9804753661155701
luo,0.9798253774642944,0.9860174059867859,0.9902414679527283,0.9742777347564697
mos,0.9293640851974487,0.9867148995399475,0.9871171116828918,0.9462267756462097
nya,0.9735638499259949,0.9901675581932068,0.9891834855079651,0.960157036781311
pcm,0.9340612292289734,0.9735832214355469,0.9921818971633911,0.971490740776062
sna,0.983483612537384,0.9819915294647217,0.9866124987602234,0.9583271741867065
swa,0.9310713410377502,0.9721202254295349,0.9898962378501892,0.98732590675354
tsn,0.9855319261550903,0.9817104339599609,0.9867404699325562,0.9656859636306763
twi,0.9795639514923096,0.991466224193573,0.9908285737037659,0.9763200879096985
wol,0.9829490184783936,0.9866073727607727,0.9882791042327881,0.9425508379936218
xho,0.9859444499015808,0.9822217226028442,0.9848998188972473,0.9447908401489258
yor,0.970635712146759,0.9843589067459106,0.9772513508796692,0.9273744225502014
zul,0.9837760329246521,0.9894399642944336,0.9856709241867065,0.956214964389801
