,DATE,ORG,LOC,PER
bam,0.9994110465049744,0.9994801878929138,0.9992863535881042,0.9993752241134644
bbj,0.9989786148071289,0.9992350339889526,0.9988552927970886,0.9991068840026855
ewe,0.9992908239364624,0.9994317293167114,0.9995182156562805,0.999322235584259
fon,0.9978571534156799,0.9994736313819885,0.9995517134666443,0.9987834692001343
hau,0.9994635581970215,0.9997503757476807,0.9997047781944275,0.9994553327560425
ibo,0.9996858239173889,0.9994470477104187,0.9996244311332703,0.9995176196098328
kin,0.9992434978485107,0.9997609257698059,0.9997684359550476,0.9992808699607849
lug,0.9994982481002808,0.9998690485954285,0.9997546672821045,0.999585747718811
luo,0.9995496273040771,0.9994465112686157,0.9997026324272156,0.9994182586669922
mos,0.9992004632949829,0.9996387362480164,0.9995518326759338,0.9994940757751465
nya,0.9991452097892761,0.9997603297233582,0.9998359084129333,0.9996357560157776
pcm,0.9985195398330688,0.9986526966094971,0.9990283250808716,0.9988563060760498
sna,0.9988589882850647,0.9998081922531128,0.9995837807655334,0.9993199110031128
swa,0.999546468257904,0.999519944190979,0.9995903372764587,0.9993963241577148
tsn,0.9994949698448181,0.9996276497840881,0.9996360540390015,0.999512255191803
twi,0.9993535280227661,0.9996010065078735,0.9995028972625732,0.9995635747909546
wol,0.9994245767593384,0.9995791912078857,0.9996738433837891,0.9992406368255615
xho,0.999788761138916,0.9997715353965759,0.9997812509536743,0.9989809989929199
yor,0.9984742403030396,0.9987317323684692,0.9988211989402771,0.9989941120147705
zul,0.9995224475860596,0.9998124241828918,0.9996259808540344,0.9996054768562317
