,DATE,PER,LOC,ORG,Mean
nya,,0.9920573830604553,0.9793978929519653,0.9812825322151184,0.9842459360758463
twi,,0.9860944747924805,0.9728292226791382,0.9882714748382568,0.9823983907699585
mos,,0.9827582240104675,0.9779465198516846,0.9857007265090942,0.9821351567904154
ewe,,0.9832634925842285,0.9745777249336243,0.9858565926551819,0.9812326033910116
fon,,0.9819919466972351,0.9755863547325134,0.9859843850135803,0.9811875621477762
kin,,0.9849091172218323,0.971632182598114,0.986755907535553,0.9810990691184998
tsn,,0.9826406836509705,0.9721439480781555,0.983647346496582,0.979477326075236
wol,,0.9880443215370178,0.9644400477409363,0.984345018863678,0.9789431293805441
ibo,,0.9916247129440308,0.9591100215911865,0.9844639897346497,0.9783995747566223
luo,,0.9838108420372009,0.9788398742675781,0.9706181287765503,0.9777562816937765
lug,,0.9817639589309692,0.9813192486763,0.9688857197761536,0.9773229757944742
zul,,0.9813841581344604,0.9651450514793396,0.9847927689552307,0.9771073261896769
bbj,,0.9866083860397339,0.956638753414154,0.9854335188865662,0.9762268861134847
pcm,,0.98369961977005,0.9769738912582397,0.9661464095115662,0.975606640179952
swa,,0.9870998859405518,0.9763178825378418,0.9623429775238037,0.9752535820007324
sna,,0.9771593809127808,0.9709543585777283,0.9760307669639587,0.9747148354848226
bam,,0.9886586666107178,0.9809028506278992,0.9531177282333374,0.9742264151573181
xho,,0.9661796689033508,0.9706476926803589,0.9801948070526123,0.972340722878774
hau,,0.9841238856315613,0.9460259079933167,0.9741291403770447,0.9680929780006409
yor,,0.981511116027832,0.9370778203010559,0.9794054627418518,0.96599813302358
