aux_code,aux_name,S_total,group,cotrain_afroxlmr,cotrain_mbert,cotrain_xlmr,zeroshot_afroxlmr,zeroshot_mbert,zeroshot_xlmr
lug,Luganda,0.9346318870075324,2,0.831,0.817,0.806,0.619,0.521,0.495
kin,Kinyarwanda,0.6177645379745957,1,0.82,0.813,0.814,0.619,0.576,0.557
swa,Swahili,0.5691179406033241,1,0.827,0.812,0.81,0.584,0.5,0.341
luo,Luo (Dholuo),0.5477228865348017,1,0.818,0.817,0.81,0.447,0.323,0.414
twi,Twi,0.5,0,0.817,0.81,0.807,0.527,0.398,0.377
nya,Nyanja (Chichewa),0.40490733238677074,0,0.814,0.808,0.818,0.576,0.462,0.447
sna,Shona,0.3850194950219377,0,0.824,0.816,0.814,0.483,0.307,0.352
bbj,Ghomala,0.3655923474929831,0,0.815,0.803,0.804,0.052,0.096,0.025
ibo,Igbo,0.3568625141665606,0,0.828,0.813,0.809,0.481,0.243,0.269
tsn,Tswana (Setswana),0.3530246324687298,0,0.826,0.817,0.813,0.452,0.433,0.241
yor,Yoruba,0.3483644556732729,0,0.822,0.811,0.81,0.475,0.174,0.247
pcm,Nigerian Pidgin (Naija),0.34798124570278943,0,0.826,0.813,0.809,0.387,0.17,0.143
hau,Hausa,0.3468944720279423,0,0.828,0.813,0.81,0.577,0.294,0.336
zul,Zulu,0.3462622421217223,0,0.814,0.815,0.809,0.515,0.415,0.371
fon,Fon,0.34545960056431874,0,0.819,0.805,0.802,0.487,0.383,0.204
ewe,Ewe,0.34435589612193435,0,0.823,0.804,0.793,0.389,0.263,0.441
xho,Xhosa,0.34434949523786257,0,0.813,0.819,0.814,0.396,0.417,0.309
mos,Mossi (Mooré),0.34094667280721563,0,0.812,0.81,0.81,0.355,0.33,0.263
bam,Bambara,0.33716468122345816,0,0.82,0.807,0.804,0.41,0.332,0.277
wol,Wolof,0.3349326278352129,0,0.821,0.807,0.813,0.464,0.481,0.45
