,run,bam,bbj,ewe,fon,hau,ibo,kin,lug,luo,mos,nya,pcm,sna,swa,tsn,twi,wol,xho,yor,zul
run,0.9999999,0.9996419,0.99967533,0.99970645,0.9995148,0.9992569,0.99962085,0.99975187,0.99984694,0.9993594,0.99953264,0.9997598,0.9987619,0.9998436,0.99915946,0.9992043,0.9996528,0.999435,0.99983114,0.9996006,0.99979025
bam,0.9996419,1.0,0.9997081,0.9998979,0.99980253,0.99958706,0.9997961,0.9997987,0.9998271,0.99963313,0.9998296,0.99979174,0.99921703,0.99976164,0.99949634,0.99955493,0.99996513,0.99970657,0.9997803,0.9997586,0.99979097
bbj,0.99967533,0.9997081,1.0000002,0.99969965,0.9997929,0.99908054,0.9995482,0.99956024,0.9996781,0.9991723,0.999514,0.999563,0.99858385,0.99963176,0.9989895,0.99903226,0.9997039,0.99934363,0.99968636,0.9996303,0.9996393
ewe,0.99970645,0.9998979,0.99969965,0.9999998,0.9997715,0.999636,0.9998396,0.9998324,0.9998555,0.9996764,0.9998644,0.99982965,0.99930704,0.9997904,0.99955136,0.9996174,0.99989986,0.99974406,0.999832,0.99982035,0.99984604
fon,0.9995148,0.99980253,0.9997929,0.9997715,1.0000001,0.99907666,0.9995152,0.999469,0.99958146,0.9991586,0.9995724,0.9994842,0.99858665,0.999516,0.9989615,0.99904805,0.99983263,0.9993286,0.9995966,0.9996074,0.99956405
hau,0.9992569,0.99958706,0.99908054,0.999636,0.99907666,1.0000001,0.9998253,0.9997998,0.9996746,0.9999409,0.9997747,0.99978554,0.9998358,0.9996172,0.99993706,0.9999544,0.99955815,0.99991244,0.99960154,0.999676,0.9997032
ibo,0.99962085,0.9997961,0.9995482,0.9998396,0.9995152,0.9998253,1.0000001,0.9999342,0.99989,0.99988705,0.99986863,0.99991757,0.99957913,0.9998463,0.9997615,0.9998406,0.9997776,0.99993575,0.9998244,0.9999121,0.9998784
kin,0.99975187,0.9997987,0.99956024,0.9998324,0.999469,0.9997998,0.9999342,1.0000001,0.9999643,0.9998764,0.99982303,0.99997973,0.99951744,0.9999415,0.9997511,0.9997889,0.9997746,0.99988943,0.9999024,0.9998422,0.9999411
lug,0.99984694,0.9998271,0.9996781,0.9998555,0.99958146,0.9996746,0.99989,0.9999643,1.0000001,0.9997566,0.9997931,0.99996036,0.99932456,0.99996144,0.9996201,0.9996522,0.99980956,0.99980175,0.9999443,0.999826,0.99995714
luo,0.9993594,0.99963313,0.9991723,0.9996764,0.9991586,0.9999409,0.99988705,0.9998764,0.9997566,1.0,0.99978614,0.99985546,0.99981993,0.9997175,0.9998939,0.9999599,0.9996014,0.9999574,0.99966884,0.999751,0.9997623
mos,0.99953264,0.9998296,0.999514,0.9998644,0.9995724,0.9997747,0.99986863,0.99982303,0.9997931,0.99978614,1.0000001,0.99980325,0.9995064,0.99971956,0.99967915,0.99975085,0.99979824,0.9998311,0.99973243,0.9998358,0.99977964
nya,0.9997598,0.99979174,0.999563,0.99982965,0.9994842,0.99978554,0.99991757,0.99997973,0.99996036,0.99985546,0.99980325,0.99999994,0.999473,0.99995875,0.99974126,0.9997727,0.9997823,0.9998761,0.9999171,0.9998328,0.9999483
pcm,0.9987619,0.99921703,0.99858385,0.99930704,0.99858665,0.9998358,0.99957913,0.99951744,0.99932456,0.99981993,0.9995064,0.999473,0.99999976,0.9992478,0.9998465,0.99985474,0.9991659,0.9997441,0.9992197,0.99942285,0.99935997
sna,0.9998436,0.99976164,0.99963176,0.9997904,0.999516,0.9996172,0.9998463,0.9999415,0.99996144,0.9997175,0.99971956,0.99995875,0.9992478,1.0,0.9995664,0.99959385,0.99974567,0.999764,0.99991655,0.9997872,0.9999229
swa,0.99915946,0.99949634,0.9989895,0.99955136,0.9989615,0.99993706,0.9997615,0.9997511,0.9996201,0.9998939,0.99967915,0.99974126,0.9998465,0.9995664,1.0,0.99990815,0.9994584,0.9998481,0.9995525,0.99961555,0.9996504
tsn,0.9992043,0.99955493,0.99903226,0.9996174,0.99904805,0.9999544,0.9998406,0.9997889,0.9996522,0.9999599,0.99975085,0.9997727,0.99985474,0.99959385,0.99990815,0.99999976,0.9995323,0.99992996,0.99956024,0.99969125,0.9996706
twi,0.9996528,0.99996513,0.9997039,0.99989986,0.99983263,0.99955815,0.9997776,0.9997746,0.99980956,0.9996014,0.99979824,0.9997823,0.9991659,0.99974567,0.9994584,0.9995323,1.0000001,0.9996834,0.999795,0.9997282,0.99979794
wol,0.999435,0.99970657,0.99934363,0.99974406,0.9993286,0.99991244,0.99993575,0.99988943,0.99980175,0.9999574,0.9998311,0.9998761,0.9997441,0.999764,0.9998481,0.99992996,0.9996834,0.9999997,0.9997267,0.99983674,0.99980843
xho,0.99983114,0.9997803,0.99968636,0.999832,0.9995966,0.99960154,0.9998244,0.9999024,0.9999443,0.99966884,0.99973243,0.9999171,0.9992197,0.99991655,0.9995525,0.99956024,0.999795,0.9997267,1.0,0.999759,0.99998385
yor,0.9996006,0.9997586,0.9996303,0.99982035,0.9996074,0.999676,0.9999121,0.9998422,0.999826,0.999751,0.9998358,0.9998328,0.99942285,0.9997872,0.99961555,0.99969125,0.9997282,0.99983674,0.999759,1.0,0.99979776
zul,0.99979025,0.99979097,0.9996393,0.99984604,0.99956405,0.9997032,0.9998784,0.9999411,0.99995714,0.9997623,0.99977964,0.9999483,0.99935997,0.9999229,0.9996504,0.9996706,0.99979794,0.99980843,0.99998385,0.99979776,1.0
