,PER,DATE,LOC,ORG,Mean
nya,0.74329656,0.6289038,0.6973925,0.8431802,0.7281933
wol,0.6885699,0.63564193,0.8010255,0.7853654,0.7276507
xho,0.7366514,0.72922975,0.7723035,0.6539591,0.72303593
tsn,0.721235,0.65851885,0.73896265,0.76968884,0.72210133
sna,0.7121955,0.6387383,0.6798381,0.8560756,0.7217119
zul,0.75215983,0.7549727,0.66772246,0.6938964,0.7171879
luo,0.6775117,0.63640785,0.7129191,0.83759457,0.7161083
kin,0.67574275,0.6196885,0.68948805,0.8660804,0.71274996
pcm,0.69076276,0.62099093,0.70652163,0.8074335,0.7064272
hau,0.6490001,0.6608014,0.70421153,0.80945873,0.70586795
lug,0.66737235,0.6345883,0.68146825,0.8375511,0.705245
ewe,0.6857244,0.6657012,0.70094734,0.76508653,0.7043649
twi,0.6794541,0.61820066,0.69078434,0.81041014,0.6997123
swa,0.7006469,0.63338226,0.6945222,0.7651499,0.6984253
bam,0.6965729,0.669348,0.6815021,0.7391174,0.69663507
yor,0.68105966,0.63209844,0.69550127,0.7614038,0.6925158
ibo,0.676319,0.60566676,0.6695355,0.81395936,0.6913701
mos,0.67874885,0.63020515,0.69596744,0.7602305,0.691288
fon,0.7238714,0.620502,0.70905405,0.6923811,0.68645215
bbj,0.6549846,0.60864305,0.6402317,0.7724088,0.669067
