,LOC,ORG,DATE,PER,Mean
lug,0.74515766,0.8097795,0.77715147,0.88366497,0.8039384
kin,0.75603247,0.8188466,0.78592265,0.8232583,0.796015
nya,0.7428566,0.81754994,0.75677943,0.8356806,0.7882166
luo,0.74694,0.7808509,0.7697235,0.80956864,0.7767708
sna,0.75565237,0.7992153,0.77290064,0.7789395,0.77667695
tsn,0.7187577,0.79782236,0.7719133,0.8118644,0.77508944
wol,0.7401419,0.7726707,0.7701382,0.80933034,0.77307034
ibo,0.73678666,0.75961363,0.76605946,0.81511533,0.7693938
twi,0.7211912,0.7888665,0.7427411,0.8176683,0.76761675
ewe,0.71616054,0.77857673,0.7350633,0.8121154,0.76047903
pcm,0.7355583,0.7694283,0.70397407,0.8221818,0.75778556
zul,0.72607166,0.77868414,0.7434777,0.78101504,0.75731206
xho,0.7357203,0.77491057,0.7499467,0.76705855,0.7569091
swa,0.7278465,0.7487601,0.72071135,0.80302095,0.75008476
mos,0.7202641,0.77322733,0.71236295,0.7884783,0.7485832
bam,0.7272469,0.74116784,0.7223681,0.7932595,0.74601066
hau,0.72533906,0.7529898,0.6980915,0.7927994,0.742305
yor,0.7042147,0.7407502,0.7328163,0.7674496,0.7363077
fon,0.70267606,0.7594925,0.68491733,0.79279256,0.7349696
bbj,0.6984314,0.729544,0.70349616,0.8046936,0.73404133
