,LOC,PER,DATE,ORG
bam,0.938286542892456,0.9597464203834534,0.9615880846977234,0.958040177822113
bbj,0.911996066570282,0.971270740032196,0.9481784701347351,0.9744957685470581
ewe,0.9511030912399292,0.972714364528656,0.9506906270980835,0.9871132373809814
fon,0.9197844862937927,0.9744889736175537,0.9450356960296631,0.9777852296829224
hau,0.9003812074661255,0.9704315662384033,0.9570299386978149,0.9611518383026123
ibo,0.9363512396812439,0.9698652625083923,0.9785288572311401,0.98105788230896
kin,0.9564266204833984,0.9692251086235046,0.9756143689155579,0.9884112477302551
lug,0.9650574922561646,0.9942628145217896,0.9634789228439331,0.9518826007843018
luo,0.9545286893844604,0.9668230414390564,0.9703420996665955,0.9800301194190979
mos,0.934586763381958,0.9740268588066101,0.9339489340782166,0.9812119007110596
nya,0.9529479146003723,0.9761406183242798,0.9659706354141235,0.9852224588394165
pcm,0.9546405673027039,0.9725558161735535,0.9013470411300659,0.9558027982711792
sna,0.925710916519165,0.9759281277656555,0.9727713465690613,0.9701158404350281
swa,0.9690953493118286,0.9808374047279358,0.9238376617431641,0.9444677233695984
tsn,0.9480652213096619,0.976914644241333,0.9708160161972046,0.9752328395843506
twi,0.9523001313209534,0.9769780039787292,0.9666591286659241,0.9870272874832153
wol,0.9384095668792725,0.9740571975708008,0.9761926531791687,0.980624794960022
xho,0.9282733201980591,0.972745954990387,0.9767592549324036,0.975067675113678
yor,0.9074210524559021,0.9622532725334167,0.9636832475662231,0.9751933217048645
zul,0.9445940256118774,0.9699875116348267,0.9745567440986633,0.9815165400505066
