,ORG,DATE,LOC,PER,Mean
twi,0.9874927997589111,,0.9760647416114807,0.9930247068405151,0.9855274160703024
lug,0.9803982377052307,,0.9838374257087708,0.9682049751281738,0.9774802128473917
ewe,0.9788081645965576,,0.9836925268173218,0.9681010246276855,0.9768672386805216
luo,0.9691665172576904,,0.9796411991119385,0.9815998673439026,0.9768025279045105
swa,0.9606514573097229,,0.9822856783866882,0.9870927333831787,0.9766766230265299
kin,0.9819387793540955,,0.9612078666687012,0.9843936562538147,0.9758467674255371
pcm,0.9533922672271729,,0.9739715456962585,0.9936279654502869,0.9736639261245728
tsn,0.9757442474365234,,0.959932267665863,0.9851469993591309,0.9736078381538391
ibo,0.9814009070396423,,0.930321216583252,0.9916221499443054,0.9677814245223999
wol,0.980284571647644,,0.9344879388809204,0.9869615435600281,0.9672446846961975
nya,0.9822025299072266,,0.9226816892623901,0.9954617619514465,0.9667819937070211
bam,0.9509565830230713,,0.9555243849754333,0.9897279739379883,0.9654029806454977
sna,0.9596449136734009,,0.9467896223068237,0.9806470274925232,0.9623605211575826
mos,0.9747729301452637,,0.9260743260383606,0.9827650785446167,0.9612041115760803
hau,0.9708694219589233,,0.9201632142066956,0.9892467856407166,0.9600931406021118
fon,0.9828858971595764,,0.9242416024208069,0.9656401872634888,0.9575892289479574
zul,0.9768083691596985,,0.927409827709198,0.9612401723861694,0.9551527897516886
bbj,0.9698941111564636,,0.8981272578239441,0.9847199320793152,0.9509137670199076
xho,0.972026526927948,,0.9272470474243164,0.9380518794059753,0.9457751512527466
yor,0.9769058227539062,,0.8608037829399109,0.9666886329650879,0.9347994128863016
