,LOC,PER,DATE,ORG
bam,0.9271391034126282,0.9615713357925415,0.9570633769035339,0.8918864727020264
bbj,0.8359283208847046,0.9503095746040344,0.892877459526062,0.939365804195404
ewe,0.9343497157096863,0.9421904683113098,0.8649056553840637,0.9663611054420471
fon,0.906101405620575,0.9492052793502808,0.9232445955276489,0.9512971043586731
hau,0.9042212963104248,0.9647040963172913,0.9505926966667175,0.9682530760765076
ibo,0.9152451157569885,0.9650871157646179,0.9682615399360657,0.9676136374473572
kin,0.948202908039093,0.9733151793479919,0.9618123173713684,0.9694269895553589
lug,0.9565035104751587,0.9536125659942627,0.9430456161499023,0.9747987389564514
luo,0.9580097198486328,0.9520289897918701,0.955814003944397,0.9685037732124329
mos,0.9198903441429138,0.9543761610984802,0.9013836979866028,0.958023726940155
nya,0.9068922996520996,0.9662424325942993,0.9530028104782104,0.9641298651695251
pcm,0.9227028489112854,0.9582962393760681,0.8307509422302246,0.9286704659461975
sna,0.9044107794761658,0.9639520049095154,0.9608945846557617,0.9607200026512146
swa,0.9345211386680603,0.9301579594612122,0.8959130048751831,0.9235577583312988
tsn,0.9339805245399475,0.9609060287475586,0.9636589288711548,0.9609278440475464
twi,0.9561219811439514,0.9677709937095642,0.9390528798103333,0.9715850353240967
wol,0.910918653011322,0.9585438966751099,0.9475581645965576,0.9619640111923218
xho,0.8954986929893494,0.9265715479850769,0.9432256817817688,0.9619593620300293
yor,0.7991319298744202,0.9110515117645264,0.918550968170166,0.9462461471557617
zul,0.924676239490509,0.9374277591705322,0.9540871977806091,0.9712182879447937
