,ORG,PER,LOC,DATE
bam,0.9967314004898071,,0.9901947379112244,
bbj,0.9966157674789429,,0.9968971610069275,
ewe,0.995850682258606,0.9957132935523987,,
fon,0.9967191219329834,0.98906010389328,0.9674445986747742,
hau,0.9991824626922607,0.9995934963226318,0.9931075572967529,
ibo,0.9905150532722473,,0.9977925419807434,
kin,0.9983420372009277,0.9998064637184143,0.9944902062416077,
lug,0.9961257576942444,0.9998533725738525,,
luo,0.9987326264381409,0.9997238516807556,,
mos,0.996545135974884,0.9992702007293701,,
nya,0.9979764223098755,0.9960245490074158,0.9858673810958862,
pcm,,0.9995825290679932,0.9994943141937256,
sna,0.9998310804367065,0.9994827508926392,0.9989059567451477,
swa,0.9965421557426453,0.9984369277954102,0.9960764646530151,
tsn,0.9989086985588074,,0.9982473850250244,
twi,0.9989824295043945,0.9990176558494568,0.9891811609268188,
wol,0.9984888434410095,0.9991251230239868,0.9952554106712341,
xho,,0.9966106414794922,0.9895558953285217,
yor,0.998755693435669,,0.994257926940918,
zul,,0.9900388121604919,0.9895451664924622,
