,PER,DATE,ORG,LOC
bam,0.9738873243331909,,0.9593205451965332,0.9623757004737854
bbj,0.9793172478675842,,0.9760958552360535,0.9355510473251343
ewe,0.9662567973136902,,0.9749168157577515,0.9666059017181396
fon,0.9763463139533997,,0.9772714972496033,0.9483391046524048
hau,0.9683659076690674,,0.970512866973877,0.9330998063087463
ibo,0.98139488697052,,0.9748059511184692,0.9388163685798645
kin,0.9747464060783386,,0.9584304094314575,0.9539533257484436
lug,0.9767169952392578,,0.9555011987686157,0.9640999436378479
luo,0.9670077562332153,,0.9588293433189392,0.9676085710525513
mos,0.9794173240661621,,0.9783936142921448,0.9574541449546814
nya,0.9821620583534241,,0.9711320996284485,0.9540139436721802
pcm,0.9783605337142944,,0.9267884492874146,0.960698127746582
sna,0.9725490212440491,,0.9695188999176025,0.9552785158157349
swa,0.9693942666053772,,0.9360278248786926,0.950465202331543
tsn,0.9789615273475647,,0.9732649326324463,0.9509180188179016
twi,0.9833255410194397,,0.9835371375083923,0.9689891934394836
wol,0.9813814759254456,,0.9681956171989441,0.9450941681861877
xho,0.965697169303894,,0.9694818258285522,0.9530044198036194
yor,0.9706829190254211,,0.9707458019256592,0.9172700047492981
zul,0.9758163094520569,,0.9796457290649414,0.9570227861404419
