,ORG,DATE,PER,LOC,Mean
lug,0.64274335,0.5689703,0.68156666,0.65645427,0.63743365
kin,0.61681753,0.5717114,0.62426066,0.608716,0.6053764
nya,0.59420407,0.5427671,0.6123191,0.56176305,0.5777633
xho,0.5910632,0.58469313,0.54187745,0.5669107,0.5711361
sna,0.58407134,0.5692536,0.56000686,0.569722,0.57076347
luo,0.5789759,0.5287455,0.6102421,0.56412804,0.5705229
zul,0.5711622,0.51688427,0.5758349,0.56090707,0.5561971
tsn,0.5789032,0.5260571,0.58498657,0.5163771,0.551581
wol,0.56134623,0.50770485,0.5726058,0.5280988,0.5424389
hau,0.53213584,0.53184396,0.5529747,0.5177003,0.53366375
ibo,0.5236491,0.51508456,0.54836005,0.5281048,0.52879965
twi,0.5364631,0.48268506,0.58895636,0.50561476,0.5284298
swa,0.5104843,0.49202767,0.58083266,0.50348055,0.52170634
bam,0.5044693,0.5144546,0.5507722,0.5161506,0.52146167
mos,0.5212658,0.4705879,0.51949286,0.4925316,0.5009695
ewe,0.50857484,0.45729023,0.52987593,0.48542523,0.49529156
pcm,0.4952417,0.41864526,0.5544295,0.4736815,0.4854995
fon,0.48362598,0.40999043,0.5080488,0.46750727,0.4672931
yor,0.43543583,0.42840493,0.45215422,0.43202874,0.43700594
bbj,0.41569707,0.40350714,0.4831614,0.41203257,0.42859954
