,PER,ORG,LOC,DATE,Mean
twi,0.9894664883613586,0.9945996999740601,0.9868888258934021,,0.9903183380762736
kin,0.985516369342804,0.9896456003189087,0.9879141449928284,,0.9876920382181803
ewe,0.9867594838142395,0.9920206665992737,0.9744949340820312,,0.9844250281651815
luo,0.98406982421875,0.985814094543457,0.9816794395446777,,0.9838544527689616
tsn,0.9850395917892456,0.986012876033783,0.9779899716377258,,0.9830141464869181
lug,0.9835593700408936,0.9788463115692139,0.9861472249031067,,0.982850968837738
mos,0.985339879989624,0.990493893623352,0.9685890078544617,,0.9814742604891459
zul,0.9842024445533752,0.988240659236908,0.970647394657135,,0.9810301661491394
pcm,0.9869667291641235,0.9736191034317017,0.9803149700164795,,0.9803002675374349
nya,0.9916643500328064,0.9852975010871887,0.963512122631073,,0.9801579912503561
fon,0.9844920039176941,0.989197313785553,0.9660860896110535,,0.9799251357714335
swa,0.9843493103981018,0.9635599255561829,0.987904965877533,,0.9786047339439392
wol,0.9911597371101379,0.9871962666511536,0.9540440440177917,,0.9774666825930277
ibo,0.9921741485595703,0.9900763034820557,0.9490652084350586,,0.9771052201588949
bbj,0.9885145425796509,0.9876580238342285,0.9504570364952087,,0.975543200969696
sna,0.9797250032424927,0.9804321527481079,0.9652498960494995,,0.9751356840133667
yor,0.9839635491371155,0.9849735498428345,0.9508073925971985,,0.9732481638590494
xho,0.971222996711731,0.9845666885375977,0.9630799293518066,,0.9729565382003784
bam,0.9898693561553955,0.9594711661338806,0.9687343239784241,,0.9726916154225668
hau,0.988346517086029,0.9814741015434265,0.9412276148796082,,0.9703494111696879
