,LOC,ORG,DATE,PER,Mean
lug,0.9662001,0.9611655,0.9182723,0.67715794,0.8806989
kin,0.9403736,0.92109823,0.9145696,0.6627182,0.85968995
nya,0.9073924,0.9073536,0.90374124,0.6945677,0.85326374
xho,0.91527724,0.9108454,0.9314932,0.6283672,0.84649575
sna,0.90588236,0.89925814,0.91840106,0.642457,0.8414996
zul,0.8970161,0.88976884,0.873591,0.6722523,0.83315706
luo,0.8946289,0.8709893,0.87115496,0.6534282,0.8225503
tsn,0.85667217,0.88096577,0.86572415,0.6448183,0.8120451
wol,0.8591544,0.86345994,0.8354246,0.63945913,0.7993745
hau,0.85165447,0.8295903,0.87467104,0.63552266,0.7978596
ibo,0.87879944,0.8253593,0.8477855,0.60131234,0.78831416
bam,0.82999945,0.80740815,0.85687125,0.5804059,0.7686712
twi,0.83489144,0.83577406,0.8080004,0.5801574,0.7647058
swa,0.7794682,0.78525126,0.8084247,0.6199566,0.74827516
mos,0.7833855,0.81769764,0.7894138,0.56971085,0.740052
ewe,0.78391594,0.8035921,0.7892947,0.53610164,0.72822607
pcm,0.7613582,0.7709482,0.71663105,0.5437934,0.69818276
fon,0.7506598,0.7527256,0.68731517,0.51258355,0.675821
yor,0.7160324,0.683205,0.73906374,0.5020977,0.66009974
bbj,0.67627966,0.68205446,0.6919684,0.5324727,0.6456938
