,DATE,PER,ORG,LOC
bam,0.9390491247177124,0.9534107446670532,0.9259575605392456,0.9115297198295593
bbj,0.897061824798584,0.9625330567359924,0.9250240325927734,0.797258734703064
ewe,0.8203606605529785,0.9648749828338623,0.9584686756134033,0.9273984432220459
fon,0.9085896015167236,0.9548212885856628,0.9526997804641724,0.8718152642250061
hau,0.9613227844238281,0.964828372001648,0.9671821594238281,0.8767713904380798
ibo,0.9737349152565002,0.9618884921073914,0.9656190872192383,0.886539101600647
kin,0.9639765024185181,0.9688990712165833,0.97458416223526,0.9649711847305298
lug,0.9233146905899048,0.9882922768592834,0.9603021144866943,0.9483671188354492
luo,0.9618351459503174,0.9681719541549683,0.9607002139091492,0.9521154165267944
mos,0.8784657716751099,0.9583343863487244,0.9566441774368286,0.8981186151504517
nya,0.9508239030838013,0.9745016098022461,0.9734429121017456,0.9385015964508057
pcm,0.8396407961845398,0.9706391096115112,0.9349179267883301,0.9375338554382324
sna,0.9733661413192749,0.9715691208839417,0.9643198251724243,0.9012175798416138
swa,0.926933765411377,0.9524449706077576,0.9407723546028137,0.9590882062911987
tsn,0.9582518935203552,0.9587652087211609,0.9447420835494995,0.9161641001701355
twi,0.9407413601875305,0.9729037880897522,0.9752145409584045,0.9503011107444763
wol,0.9530194401741028,0.9656103253364563,0.9628353714942932,0.8897068500518799
xho,0.9757700562477112,0.95377117395401,0.9541236758232117,0.8562029004096985
yor,0.9097163677215576,0.8990923762321472,0.938320517539978,0.7970300912857056
zul,0.9652096033096313,0.9472633004188538,0.9677504301071167,0.9078958034515381
