,LOC,PER,ORG,DATE
bam,0.9997158050537109,0.9998480677604675,0.9997429847717285,0.9996596574783325
bbj,0.9999309182167053,0.99996417760849,0.9999321103096008,0.9999393224716187
ewe,0.9999299049377441,0.9997975826263428,0.9998071193695068,0.9998233914375305
fon,0.999748945236206,0.9996766448020935,0.999846339225769,0.999717652797699
hau,0.9999220371246338,0.9999176859855652,0.9999017119407654,0.9997828006744385
ibo,0.9999001622200012,0.9999387264251709,0.9998425245285034,0.9998804926872253
kin,0.9999769926071167,0.9999904632568359,0.9999731779098511,0.9999818205833435
lug,0.9999858736991882,0.9999886751174927,0.9999880790710449,0.9999771118164062
luo,0.9999334812164307,0.9999300837516785,0.9999573826789856,0.9999492764472961
mos,0.999963104724884,0.9999388456344604,0.9999231696128845,0.9998174905776978
nya,0.9999712109565735,0.9999488592147827,0.9999880194664001,0.9999831318855286
pcm,0.9999680519104004,0.9999725222587585,0.9999518394470215,0.9999328255653381
sna,0.9999770522117615,0.9999682903289795,0.9999891519546509,0.9999861717224121
swa,0.9999057650566101,0.9999182820320129,0.9999200701713562,0.999907374382019
tsn,0.9999555349349976,0.9999771118164062,0.9999526143074036,0.9999760985374451
twi,0.9999542236328125,0.9999512434005737,0.9999068975448608,0.9998798370361328
wol,0.9998573660850525,0.9999242424964905,0.99994295835495,0.9999131560325623
xho,0.9999805688858032,0.9998993277549744,0.9999639391899109,0.9999748468399048
yor,0.9999018311500549,0.9998999238014221,0.999901294708252,0.9997622966766357
zul,0.9999434947967529,0.999915361404419,0.9999659061431885,0.9999222755432129
