,PER,DATE,ORG,LOC
bam,0.9999908208847046,,0.9999932646751404,0.9999990463256836
bbj,0.9999988675117493,,0.9999985694885254,0.9999953508377075
ewe,0.9999936819076538,,0.9999958276748657,0.9999948740005493
fon,0.9999935626983643,,0.9999967217445374,0.9999973177909851
hau,0.9999912977218628,,0.9999964237213135,0.9999889135360718
ibo,,,0.9999968409538269,0.9999960064888
kin,0.9999949932098389,,0.9999932646751404,0.9999960660934448
lug,0.9999984502792358,,0.9999969601631165,
luo,0.9999756813049316,,0.9999953508377075,
mos,0.9999959468841553,,0.999998152256012,0.9999938607215881
nya,0.9999969005584717,,0.9999972581863403,0.9999922513961792
pcm,0.9999766945838928,,0.9999976754188538,0.9999966621398926
sna,0.9999839067459106,,0.9999973773956299,0.9999978542327881
swa,0.9999972581863403,,0.9999974966049194,0.999997079372406
tsn,,,0.9999972581863403,0.999984085559845
twi,0.9999985694885254,,0.9999980926513672,0.9999963045120239
wol,0.9999977350234985,,0.9999899864196777,0.9999954700469971
xho,0.9999929070472717,,0.9999956488609314,0.9999975562095642
yor,,,0.9999947547912598,0.9999938011169434
zul,0.9999887943267822,,0.9999969005584717,0.9999963641166687
