,PER,LOC,DATE,ORG
bam,,0.9568305611610413,,0.965976893901825
bbj,,0.9179973006248474,,0.9701879620552063
ewe,0.9755904674530029,,,0.9730602502822876
fon,0.9741985201835632,0.9460260272026062,,0.9736114144325256
hau,0.9722836017608643,0.9382886290550232,,0.9690495729446411
ibo,,0.950433611869812,,0.9733996987342834
kin,0.9748806357383728,0.9626327157020569,,0.9643720984458923
lug,0.9815962314605713,,,0.9733301997184753
luo,0.9701096415519714,,,0.9607784152030945
mos,0.9685752987861633,,,0.9759259223937988
nya,,0.9574523568153381,,0.9741029739379883
pcm,0.9747298955917358,0.9672437906265259,,
sna,0.9773832559585571,0.9584324955940247,,
swa,0.9752898216247559,0.9637343883514404,,0.9345059990882874
tsn,,0.9588919281959534,,0.9762194752693176
twi,0.979174017906189,0.9596996903419495,,0.9840982556343079
wol,0.9726041555404663,0.955020546913147,,0.9712004065513611
xho,0.9631237387657166,0.9558931589126587,,
yor,,0.9287421703338623,,0.970196008682251
zul,,0.9498032927513123,,
