,PER,LOC,DATE,ORG
bam,,,,0.9474138021469116
bbj,,,,0.9461455941200256
ewe,0.8777785897254944,,,0.9487167000770569
fon,0.8811655044555664,,,
hau,0.8781904578208923,,,0.8790192604064941
ibo,,0.9475952386856079,,0.9538782835006714
kin,,,,0.9423161149024963
lug,0.8984570503234863,,,0.9664577841758728
luo,0.875243067741394,,,0.9495372176170349
mos,0.8718647360801697,,,0.9552291035652161
nya,,,,0.9589122533798218
pcm,0.867423415184021,0.9657409191131592,,
sna,0.8304105997085571,0.9548816084861755,,
swa,0.8770076036453247,,,
tsn,,0.9578975439071655,,0.9594888091087341
twi,0.8899568319320679,,,
wol,,,,0.9583002924919128
xho,0.8526279330253601,0.9513954520225525,,
yor,,0.902481734752655,,0.9505771994590759
zul,,0.9423872828483582,,
