,DATE,LOC,PER,ORG,Mean
lug,0.5917218,0.66298085,0.565719,0.6558036,0.6190563
kin,0.6257099,0.6088319,0.5670426,0.65116554,0.6131875
luo,0.633704,0.5945299,0.5491392,0.66871524,0.6115221
twi,0.6102196,0.59607434,0.5679087,0.6628626,0.6092663
swa,0.6070533,0.6032171,0.5568214,0.6640344,0.6077815
sna,0.67232203,0.5133424,0.5601258,0.66143924,0.60180736
ibo,0.6492938,0.5644283,0.56187856,0.63124084,0.6017104
xho,0.7167263,0.47766834,0.5999304,0.58476555,0.59477264
tsn,0.62382686,0.5239435,0.55559886,0.6603743,0.5909359
zul,0.6472394,0.5109321,0.58881444,0.608041,0.58875674
ewe,0.5575586,0.5771896,0.5687594,0.64920145,0.58817726
hau,0.65440434,0.4982751,0.5838204,0.6083914,0.58622277
nya,0.58588815,0.5457755,0.53728795,0.6494019,0.57958835
fon,0.5898006,0.5121765,0.58019817,0.62931156,0.5778717
bam,0.60380167,0.5400529,0.5660508,0.58863205,0.5746344
wol,0.6143798,0.48623693,0.58869404,0.60258865,0.57297486
pcm,0.47547832,0.58721274,0.58059317,0.63579816,0.56977063
mos,0.555827,0.50866336,0.57340443,0.60922575,0.5617801
bbj,0.54620636,0.46950015,0.5708318,0.59148645,0.5445062
yor,0.58400106,0.45931405,0.5188189,0.5798254,0.53548986
