,PER,ORG,DATE,LOC,Mean
lug,0.789835,0.76562345,0.6718937,0.76960886,0.7492403
kin,0.7094391,0.7180288,0.67798364,0.7432575,0.7121773
nya,0.7379502,0.7103246,0.67225295,0.71449333,0.70875525
sna,0.6958867,0.7014785,0.68234855,0.71190906,0.69790566
xho,0.64259976,0.6967616,0.6864425,0.694063,0.67996675
tsn,0.684966,0.68724513,0.6558414,0.66564393,0.6734241
zul,0.6992747,0.66539705,0.6405706,0.6826379,0.67197007
luo,0.68778837,0.6707305,0.6371116,0.685663,0.6703234
wol,0.66161895,0.6611297,0.62907887,0.6518887,0.6509291
hau,0.654033,0.6438893,0.6598491,0.63703895,0.6487026
ibo,0.667396,0.63922006,0.61858064,0.6614058,0.6466506
twi,0.6443891,0.64958507,0.6043227,0.62651324,0.6312025
swa,0.6430159,0.6283921,0.61264217,0.626596,0.6276616
ewe,0.63377035,0.6326726,0.6095619,0.61867845,0.6236708
bam,0.63436383,0.6089016,0.63255835,0.61653686,0.62309015
mos,0.64870274,0.63230264,0.6059066,0.5916726,0.61964613
pcm,0.6072597,0.6016798,0.56351054,0.58075786,0.588302
yor,0.58871853,0.5899373,0.5760799,0.5868318,0.5853919
fon,0.6037749,0.5846775,0.5305322,0.57556397,0.5736371
bbj,0.57828766,0.547842,0.5489185,0.5177731,0.5482053
