,ORG,LOC,DATE,PER,Mean
sna,0.9999940395355225,0.9999969601631165,0.9999959468841553,0.9999956488609314,0.9999956488609314
lug,0.9999924302101135,0.9999921917915344,0.9999977350234985,0.999998152256012,0.9999951273202896
kin,0.99998939037323,0.9999936819076538,0.9999961853027344,0.9999962449073792,0.9999938756227493
xho,0.9999902248382568,0.9999971389770508,0.9999916553497314,0.9999961256980896,0.9999937862157822
zul,0.9999897480010986,0.9999939203262329,0.999993085861206,0.9999972581863403,0.9999935030937195
nya,0.9999862313270569,0.9999963641166687,0.9999896883964539,0.9999963641166687,0.999992161989212
mos,0.9999872446060181,0.999994158744812,0.9999874234199524,0.999996542930603,0.9999913424253464
yor,0.9999897480010986,0.9999917149543762,0.9999889135360718,0.9999920129776001,0.9999905973672867
tsn,0.9999794363975525,0.999993622303009,0.9999938607215881,0.9999948143959045,0.9999904334545135
ibo,0.9999769926071167,0.9999962449073792,0.9999935030937195,0.9999948143959045,0.99999038875103
bbj,0.9999904036521912,0.9999913573265076,0.9999873638153076,0.999991774559021,0.9999902248382568
wol,0.9999743700027466,0.9999950528144836,0.999993085861206,0.9999958276748657,0.9999895840883255
luo,0.9999774694442749,0.9999924302101135,0.999994158744812,0.9999920725822449,0.9999890327453613
twi,0.9999819397926331,0.9999892115592957,0.9999877214431763,0.9999959468841553,0.9999887049198151
hau,0.9999868273735046,0.9999909400939941,0.9999852180480957,0.9999916553497314,0.9999886602163315
bam,0.9999803304672241,0.9999912977218628,0.9999867081642151,0.9999962449073792,0.9999886453151703
fon,0.9999807476997375,0.999991238117218,0.9999849796295166,0.9999903440475464,0.9999868273735046
ewe,0.9999818205833435,0.9999926090240479,0.9999803900718689,0.9999924898147583,0.9999868273735046
swa,0.9999582171440125,0.9999912977218628,0.9999715089797974,0.999991774559021,0.9999781996011734
pcm,0.9999622702598572,0.9999867081642151,0.999945878982544,0.9999908804893494,0.9999714344739914
