,PER,DATE,LOC,ORG,Mean
swa,0.9998418,0.9986458,0.9995549,0.99987805,0.9994801
sna,0.999737,0.99851644,0.99921936,0.99995106,0.999356
lug,0.9999918,0.99786776,0.99934065,0.99987483,0.9992687
pcm,0.99980164,0.9978736,0.9993641,0.9998939,0.9992333
hau,0.9999015,0.997884,0.99921423,0.9999069,0.9992267
tsn,0.9997272,0.99787235,0.9994877,0.9997593,0.99921167
zul,0.9984031,0.99964637,0.9990185,0.9996404,0.9991771
xho,0.99917734,0.9996604,0.99975955,0.99807596,0.9991683
ewe,0.99991536,0.9976101,0.9990347,0.9998926,0.9991132
kin,0.99995565,0.99666023,0.99946415,0.9999651,0.9990113
yor,0.99920046,0.9978393,0.9992297,0.99961036,0.99897
wol,0.999927,0.996098,0.99978477,0.99981076,0.9989051
twi,0.9997553,0.99669176,0.99919885,0.9998489,0.9988737
nya,0.99912274,0.9972875,0.9990735,0.9999593,0.9988608
bam,0.99990237,0.99724776,0.9987155,0.9993302,0.998799
mos,0.99991,0.99655324,0.9988655,0.99983495,0.998791
bbj,0.9998897,0.99660647,0.9987498,0.99971855,0.99874115
ibo,0.99996716,0.9958092,0.9991167,0.99989784,0.99869776
luo,0.9999353,0.99585027,0.9990683,0.9999228,0.9986942
fon,0.999716,0.995727,0.9987647,0.9997414,0.99848723
