,ORG,LOC,PER,DATE
bam,0.9999985694885254,0.9999995827674866,0.999995768070221,0.9999993443489075
bbj,0.9999995231628418,0.9999993443489075,0.9999960660934448,0.9999985098838806
ewe,0.9999993443489075,0.9999991655349731,0.9999959468841553,0.9999992251396179
fon,0.999999463558197,0.9999991655349731,0.9999929070472717,0.9999984502792358
hau,0.9999990463256836,0.9999953508377075,0.9999939203262329,0.9999963045120239
ibo,0.9999995231628418,0.999999463558197,0.9999951124191284,0.9999998211860657
kin,0.999999463558197,0.9999985694885254,0.999997615814209,0.9999995231628418
lug,0.9999989867210388,0.9999979734420776,0.9999950528144836,0.9999988675117493
luo,0.9999991655349731,0.9999991059303284,0.9999974370002747,0.9999996423721313
mos,0.9999992847442627,0.9999992251396179,0.9999940395355225,0.9999980330467224
nya,0.9999991655349731,0.9999989867210388,0.9999962449073792,0.9999991655349731
pcm,0.9999986886978149,0.9999994039535522,0.9999947547912598,0.9999966621398926
sna,0.9999990463256836,0.9999997019767761,0.9999955296516418,0.9999996423721313
swa,0.9999986290931702,0.9999973773956299,0.9999969601631165,0.9999979138374329
tsn,0.9999991059303284,0.9999986290931702,0.9999969005584717,0.9999996423721313
twi,0.9999995827674866,0.9999988079071045,0.9999960660934448,0.9999996423721313
wol,0.9999988079071045,0.9999991059303284,0.9999957084655762,0.9999986290931702
xho,0.9999991059303284,0.9999992847442627,0.9999951124191284,0.9999988675117493
yor,0.9999991655349731,0.9999983310699463,0.9999959468841553,0.9999991059303284
zul,0.9999990463256836,0.9999991655349731,0.9999949932098389,0.9999995231628418
