,ORG,DATE,LOC,PER,Mean
lug,0.96674454,0.9269215,0.9634873,0.97834647,0.95887494
kin,0.9394878,0.91277784,0.9396753,0.94738746,0.9348321
xho,0.91818285,0.9354024,0.91066074,0.8993852,0.9159078
nya,0.91394603,0.9040646,0.8995997,0.94459593,0.91555154
sna,0.9150904,0.92152894,0.8937279,0.897684,0.9070078
zul,0.91698444,0.87853116,0.90157557,0.90884703,0.90148455
luo,0.8721654,0.86897475,0.89600956,0.9331757,0.89258134
tsn,0.88192016,0.8689393,0.84310895,0.9229757,0.87923604
wol,0.8882731,0.8424467,0.8693974,0.88500845,0.8712814
ibo,0.84819174,0.86022174,0.8896985,0.8825513,0.8701658
hau,0.854133,0.88649887,0.8429496,0.86322224,0.8617009
twi,0.86355406,0.81654084,0.8501236,0.90629315,0.85912794
bam,0.832095,0.85879487,0.842062,0.8869276,0.85496986
ewe,0.8271288,0.79557085,0.79511654,0.84112453,0.8147352
mos,0.82755536,0.7804084,0.807202,0.83863705,0.81345075
swa,0.7773215,0.80372196,0.7600149,0.88499486,0.8065133
pcm,0.78166234,0.7129761,0.769583,0.85319364,0.77935374
fon,0.7777915,0.6957445,0.7581149,0.79825836,0.7574773
yor,0.6993122,0.7449695,0.70850027,0.73170733,0.7211223
bbj,0.7088058,0.6884078,0.6853939,0.78215504,0.71619064
