,ORG,DATE,PER,LOC,Mean
lug,0.99527913,0.98689127,0.9979787,0.9976095,0.9944396
kin,0.992177,0.98950034,0.9923189,0.996072,0.99251705
nya,0.99273044,0.9845904,0.9949271,0.9935202,0.9914421
sna,0.98899364,0.98864603,0.98992896,0.9927218,0.9900726
xho,0.9891961,0.98998976,0.9793316,0.9895569,0.9870186
tsn,0.98838896,0.9812125,0.9869365,0.9838548,0.9850982
luo,0.9830068,0.97457165,0.99120927,0.99132425,0.98502797
zul,0.9854626,0.9759375,0.9917979,0.9866586,0.98496413
wol,0.98396194,0.9742686,0.9862289,0.9825322,0.9817479
hau,0.979511,0.9827994,0.9843893,0.9772496,0.9809873
ibo,0.9726795,0.9716281,0.98819315,0.9859841,0.97962123
twi,0.9854573,0.96706575,0.985438,0.9766622,0.9786558
swa,0.97790486,0.970759,0.9874205,0.9783118,0.978599
bam,0.9681282,0.97386914,0.97971267,0.97330135,0.97375286
ewe,0.977435,0.9641454,0.9779652,0.9723151,0.9729652
mos,0.97794944,0.9609455,0.9808301,0.95825475,0.96949494
yor,0.95944685,0.9459863,0.96021104,0.95153004,0.95429355
pcm,0.95463055,0.9241182,0.9730897,0.9537425,0.9513953
fon,0.9528277,0.8932145,0.9694438,0.9403814,0.9389669
bbj,0.93483835,0.9234919,0.95574725,0.880024,0.92352533
