,DATE,ORG,PER,LOC
bam,,0.9607030749320984,0.9834879636764526,0.9704270958900452
bbj,,0.9784032702445984,0.9876545667648315,0.9209305644035339
ewe,,0.9783401489257812,0.9772664308547974,0.9872432351112366
fon,,0.9858525395393372,0.9776732325553894,0.9519773721694946
hau,,0.9818539619445801,0.9929246306419373,0.9508549571037292
ibo,,0.9857951998710632,,0.9530739188194275
kin,,0.9806016087532043,0.9883350729942322,0.9840028285980225
lug,,0.9874969124794006,0.9844809770584106,
luo,,0.9766612648963928,0.9826755523681641,
mos,,0.9745091795921326,0.9895831942558289,0.9542739987373352
nya,,0.9877727031707764,0.9970658421516418,0.9523748159408569
pcm,,0.9770987033843994,0.9953777194023132,0.9873415231704712
sna,,0.9721628427505493,0.9875919222831726,0.9685078263282776
swa,,0.9696516394615173,0.9920209646224976,0.9896960258483887
tsn,,0.9819315075874329,,0.9587165713310242
twi,,0.9899933338165283,0.9952558875083923,0.9874586462974548
wol,,0.9809715151786804,0.9919462203979492,0.963488757610321
xho,,0.9785416722297668,0.9548351168632507,0.9593958854675293
yor,,0.9860741496086121,,0.8934613466262817
zul,,0.9822643399238586,0.9741028547286987,0.9627851843833923
