group,members,min_sim,max_sim,mean_sim
High-A,"tsn,nya,lug,swa",0.8754486895544353,0.9048645778823595,0.8922469629231808
High-B,"kin,sna,xho,zul",0.8132202844993976,0.873156168099325,0.8467417642778607
Intermediate,"luo,bbj,twi,ibo",0.7538585937829863,0.78258558087123,0.7734453105553711
Low-A,"yor,fon,hau,pcm",0.7050482417932928,0.7152474728151239,0.7086841131868438
Low-B,"wol,ewe,mos,bam",0.6718580124211434,0.6930635458972616,0.6779206387503187
