code,sim_to_target
tsn,0.9048645778823595
nya,0.8997667087087251
lug,0.8889078755472034
swa,0.8754486895544353
kin,0.873156168099325
sna,0.8708896333420235
xho,0.8297009711706966
zul,0.8132202844993976
luo,0.78258558087123
bbj,0.7798726361170316
twi,0.7774644314502368
ibo,0.7538585937829863
yor,0.7152474728151239
fon,0.7092181826645522
hau,0.7052225554744065
pcm,0.7050482417932928
wol,0.6930635458972616
ewe,0.6733804983414349
mos,0.6733804983414349
bam,0.6718580124211434
