,nyn,bam,bbj,ewe,fon,hau,ibo,kin,lug,luo,mos,pcm,nya,sna,swa,tsn,twi,wol,xho,yor,zul
nyn,1.0,0.6718580124211434,0.7798726361170316,0.6733804983414349,0.7092181826645522,0.7052225554744065,0.7538585937829863,0.873156168099325,0.8889078755472034,0.78258558087123,0.6733804983414349,0.7050482417932928,0.8997667087087251,0.8708896333420235,0.8754486895544353,0.9048645778823595,0.7774644314502368,0.6930635458972616,0.8297009711706966,0.7152474728151239,0.8132202844993976
bam,0.6718580124211434,1.0,0.6839933805257797,0.773176692485099,0.820932689861612,0.689837476189754,0.7588212238087294,0.6744642027449,0.6922025606906821,0.69374593509432,0.8186576743959872,0.7368547050546317,0.6783401849199248,0.6343129678451094,0.689837476189754,0.705308367345892,0.8315667549715156,0.7243293499992417,0.7163254650964889,0.7639936351238827,0.6671886277220533
bbj,0.7798726361170316,0.6839933805257797,1.0,0.7333630764492247,0.7247515324302041,0.678890514875526,0.7520018010928903,0.8028517412475878,0.7972497170493488,0.7457588232252823,0.6610596745457802,0.7118802835060859,0.8146686178506313,0.7784134119856371,0.8042241483910078,0.8087806956105177,0.7663672163500059,0.7624462705525139,0.8159955357674474,0.6940337512660606,0.7396392855229492
ewe,0.6733804983414349,0.773176692485099,0.7333630764492247,1.0,0.7822327734684299,0.6667078227408284,0.7444904020605918,0.6968051743885748,0.7526178090063815,0.6928347422148949,0.7802197802197803,0.7008446585151958,0.7444904020605918,0.6883312315493174,0.7333786050149114,0.7263590039349703,0.8153326507837141,0.7222668079692303,0.7032967032967031,0.702063937895811,0.6776057453313596
fon,0.7092181826645522,0.820932689861612,0.7247515324302041,0.7822327734684299,1.0,0.7231753835289101,0.768373844999467,0.7085829973678659,0.7288942961247936,0.7159090909090905,0.849281296908581,0.7471757960415166,0.7231753835289101,0.6780918908527013,0.7118757681612708,0.7386363636363634,0.840958381180463,0.7457746142641881,0.7710580195617377,0.8247129895615295,0.7001729035471598
hau,0.7052225554744065,0.689837476189754,0.678890514875526,0.6667078227408284,0.7231753835289101,1.0,0.7191011235955062,0.7159553188554737,0.7006282228188098,0.7457746142641886,0.7000432138778698,0.7886873258368743,0.7191011235955062,0.6851469732298897,0.6966292134831465,0.7231753835289096,0.6713319906706946,0.7191011235955057,0.7000432138778694,0.7466278748617677,0.7072794779240564
ibo,0.7538585937829863,0.7588212238087294,0.7520018010928903,0.7444904020605918,0.768373844999467,0.7191011235955062,1.0,0.7500484292771629,0.8093463953251767,0.7457746142641886,0.7444904020605918,0.7658268236387039,0.7752808988764052,0.7503990659184506,0.786516853932585,0.8022726911023841,0.7419985160044519,0.7640449438202248,0.811161184334674,0.8078268809979783,0.75148444529431
kin,0.873156168099325,0.6744642027449,0.8028517412475878,0.6968051743885748,0.7085829973678659,0.7159553188554737,0.7500484292771629,1.0,0.9041213624979193,0.7428692714340529,0.663088794982676,0.6936532069063647,0.8864208709639194,0.8689717588767476,0.8750565008233564,0.8914431257208633,0.7743034973828522,0.7273196889960367,0.8316706920121698,0.7056422850727967,0.8047833012178126
lug,0.8889078755472034,0.6922025606906821,0.7972497170493488,0.7526178090063815,0.7288942961247936,0.7006282228188098,0.8093463953251767,0.9041213624979193,1.0,0.7896354874685264,0.6809399224343453,0.7004550447437983,0.9059847708863921,0.8652160248466285,0.8939049739412401,0.9111178701559921,0.797724035217465,0.7489474105994173,0.8601346388644364,0.7369058983549409,0.8198035875000318
luo,0.78258558087123,0.69374593509432,0.7457588232252823,0.6928347422148949,0.7159090909090905,0.7457746142641886,0.7457746142641886,0.7428692714340529,0.7896354874685264,1.0,0.6928347422148949,0.7701658205351016,0.7796734603671063,0.7327767207601772,0.7570742296318278,0.7727272727272723,0.7225135387606797,0.768373844999467,0.7375337578416624,0.7631672440718631,0.7001729035471598
