label,rho,p,n
co-train_mbert,0.5588436577831669,0.010425581103554644,20
co-train_xlm-r,0.4983186408789332,0.02533656927436507,20
zero-shot_mbert,0.5415570146050088,0.013655141510362807,20
zero-shot_xlm-r,0.27378715738364334,0.2427820574023715,20
