language,sim,f1
bam,0.6718580124211434,0.332
bbj,0.7798726361170316,0.096
ewe,0.6733804983414349,0.263
fon,0.7092181826645522,0.383
hau,0.7052225554744065,0.294
ibo,0.7538585937829863,0.243
kin,0.873156168099325,0.576
lug,0.8889078755472034,0.521
luo,0.78258558087123,0.323
mos,0.6733804983414349,0.33
pcm,0.7050482417932928,0.17
nya,0.8997667087087251,0.462
sna,0.8708896333420235,0.307
swa,0.8754486895544353,0.5
tsn,0.9048645778823595,0.433
twi,0.7774644314502368,0.398
wol,0.6930635458972616,0.481
xho,0.8297009711706966,0.417
yor,0.7152474728151239,0.174
zul,0.8132202844993976,0.415
