language,sim,f1
bam,0.6718580124211434,0.277
bbj,0.7798726361170316,0.025
ewe,0.6733804983414349,0.441
fon,0.7092181826645522,0.204
hau,0.7052225554744065,0.336
ibo,0.7538585937829863,0.269
kin,0.873156168099325,0.557
lug,0.8889078755472034,0.495
luo,0.78258558087123,0.414
mos,0.6733804983414349,0.263
pcm,0.7050482417932928,0.143
nya,0.8997667087087251,0.447
sna,0.8708896333420235,0.352
swa,0.8754486895544353,0.341
tsn,0.9048645778823595,0.241
twi,0.7774644314502368,0.377
wol,0.6930635458972616,0.45
xho,0.8297009711706966,0.309
yor,0.7152474728151239,0.247
zul,0.8132202844993976,0.371
