,LOC,DATE,PER,ORG
bam,0.9727914333343506,,,0.9602203369140625
bbj,0.9410701990127563,,,0.9700061678886414
ewe,,,0.9494799375534058,0.962323784828186
fon,0.955890953540802,,0.9338810443878174,0.9756912589073181
hau,,,0.9553736448287964,0.9700902700424194
ibo,0.9687645435333252,,,0.9714032411575317
kin,0.9261075258255005,,,0.9620375037193298
lug,,,0.9358574151992798,0.9782869815826416
luo,,,0.9629101753234863,0.9689846634864807
mos,,,0.9245442748069763,0.9738965034484863
nya,0.9525124430656433,,,0.9682982563972473
pcm,0.9770641326904297,,0.9455211162567139,
sna,0.9697309732437134,,0.9561184048652649,
swa,0.9739354848861694,,0.9512605667114258,
tsn,0.9540759325027466,,,0.9698981046676636
twi,0.9523169994354248,,0.9609708189964294,0.982852041721344
wol,0.9564428925514221,,,0.9585919380187988
xho,0.9518066644668579,,0.9473330974578857,
yor,0.9073531627655029,,,0.9701522588729858
zul,0.9498881697654724,,,
