,DATE,ORG,LOC,PER
bam,,0.9686774611473083,0.9586101770401001,0.9774149060249329
bbj,,0.9760284423828125,0.9313005208969116,0.9765794277191162
ewe,,0.9834683537483215,0.965316891670227,0.9699136018753052
fon,,0.9836258292198181,0.9440563917160034,0.9763504862785339
hau,,0.974981963634491,0.9399577975273132,0.9720472693443298
ibo,,0.9823089838027954,0.9360067248344421,0.9813247323036194
kin,,0.9888182878494263,0.9814138412475586,0.976354718208313
lug,,0.9712613821029663,0.9828064441680908,0.9752945899963379
luo,,0.9806435108184814,0.9765751361846924,0.9715531468391418
mos,,0.9847151041030884,0.9560461044311523,0.980457603931427
nya,,0.9879757165908813,0.9549264311790466,0.9836123585700989
pcm,,0.9491404891014099,0.9671685099601746,0.9751713275909424
sna,,0.9809352159500122,0.9617872834205627,0.9744332432746887
swa,,0.9615585207939148,0.958389401435852,0.9593589901924133
tsn,,0.9762183427810669,0.9657696485519409,0.977886438369751
twi,,0.9900191426277161,0.9788814783096313,0.9810643196105957
wol,,0.9785513281822205,0.9429982304573059,0.9814718961715698
xho,,0.9747291207313538,0.9537822604179382,0.958431601524353
yor,,0.9753614068031311,0.9410181641578674,0.9694004058837891
zul,,0.9859786033630371,0.9641087651252747,0.9754774570465088
