,DATE,LOC,ORG,PER,Mean
lug,0.6789576,0.7492549,0.7503773,0.78907704,0.7419167
kin,0.67363924,0.7385693,0.71059406,0.7062882,0.70727277
nya,0.6596552,0.71312773,0.7088892,0.72393537,0.7014019
sna,0.68261576,0.69641423,0.6846754,0.68854815,0.6880634
xho,0.6880771,0.6855651,0.6685104,0.65291667,0.6737673
zul,0.634689,0.6734594,0.6596328,0.69220376,0.66499627
luo,0.6248778,0.6819217,0.65495646,0.69081044,0.6631416
tsn,0.64848226,0.6540941,0.66889274,0.6660765,0.6593864
ibo,0.6232587,0.66073686,0.63043183,0.6813866,0.64895356
wol,0.62760264,0.65212995,0.64966434,0.6593138,0.6471777
hau,0.65346956,0.63258535,0.6422453,0.6513926,0.6449232
twi,0.61770844,0.62850106,0.6645919,0.66195685,0.64318955
swa,0.6157326,0.63500327,0.6263269,0.6811552,0.6395545
bam,0.6270707,0.62302643,0.61621773,0.64744526,0.62844
ewe,0.61208326,0.61978364,0.6374542,0.63096195,0.62507075
mos,0.5976711,0.60501134,0.6289086,0.6460488,0.61941
pcm,0.5529724,0.58679175,0.601032,0.6237123,0.5911271
yor,0.5762949,0.5837076,0.595868,0.59593713,0.5879519
fon,0.5238328,0.5693245,0.58880216,0.6162917,0.5745628
bbj,0.55598587,0.5227401,0.5722164,0.59433717,0.5613199
