,LOC,ORG,PER,DATE
bam,0.9785563945770264,0.9492471218109131,0.9831875562667847,
bbj,0.9448993802070618,0.9711659550666809,0.9806883931159973,
ewe,0.9791196584701538,0.9839684367179871,0.986325740814209,
fon,0.9698821902275085,0.9798928499221802,0.9831375479698181,
hau,0.9642268419265747,0.973270833492279,0.9834361672401428,
ibo,0.965609073638916,0.9826247692108154,0.9815467000007629,
kin,0.984992504119873,0.9802194833755493,0.9850127696990967,
lug,0.9828174114227295,0.9836034774780273,0.9830591678619385,
luo,0.9821562170982361,0.9738200902938843,0.9874145984649658,
mos,0.9719226360321045,0.9796037673950195,0.9854142665863037,
nya,0.9760101437568665,0.9822158813476562,0.9902396202087402,
pcm,0.9795325994491577,0.97913658618927,0.9882808923721313,
sna,0.9694492816925049,0.9814482927322388,0.9837530851364136,
swa,0.9777339100837708,0.9710215926170349,0.9879451394081116,
tsn,0.9789607524871826,0.9850680232048035,0.9890068769454956,
twi,0.9809079170227051,0.988391637802124,0.9885470271110535,
wol,0.9728090763092041,0.9809451699256897,0.9827820062637329,
xho,0.9679591059684753,0.9763808846473694,0.9629018306732178,
yor,0.9499254822731018,0.9743712544441223,0.9744628071784973,
zul,0.977959156036377,0.9797898530960083,0.97621089220047,
