,ORG,DATE,LOC,PER,Mean
lug,0.73975027,0.67163384,0.7766364,0.791132,0.7447881
kin,0.7069353,0.6844043,0.74317944,0.7058087,0.71008193
nya,0.7116711,0.6616572,0.7118672,0.73264575,0.7044603
sna,0.6846652,0.6804616,0.7039518,0.6882229,0.6893254
xho,0.67956185,0.68753684,0.68222755,0.6428528,0.67304474
luo,0.6556667,0.6261211,0.6909939,0.69620574,0.6672469
zul,0.66370106,0.6300136,0.66668445,0.701468,0.6654668
tsn,0.67936873,0.64727616,0.65455705,0.67182773,0.6632574
wol,0.6589544,0.62814206,0.6498936,0.668401,0.65134776
hau,0.6440533,0.6538265,0.6329182,0.6602555,0.6477633
ibo,0.62631834,0.62277937,0.6634046,0.6781895,0.64767295
twi,0.66724235,0.6129722,0.6296608,0.66383016,0.6434264
swa,0.6372636,0.6179917,0.63619393,0.6717206,0.6407925
bam,0.61555517,0.62536645,0.6234549,0.64395565,0.62708306
ewe,0.63898647,0.6072315,0.6209786,0.6387634,0.62649
mos,0.63963,0.59922,0.5952276,0.64758897,0.62041664
pcm,0.59252065,0.5567498,0.5857506,0.620268,0.58882225
yor,0.59724206,0.5743483,0.5836128,0.5974615,0.5881662
fon,0.59146404,0.52769226,0.57152444,0.61819714,0.5772195
bbj,0.56905955,0.55597657,0.5167939,0.5943365,0.5590416
