,PER,LOC,DATE,ORG,Mean
kin,0.9991401952870531,0.9993116330684871,0.9990613779043904,0.9993064136686698,0.9992049049821501
sna,0.9993316668786384,0.9987445136712887,0.9990369598349081,0.9994313560059426,0.9991361240976945
nya,0.9993041177892588,0.9987267343772918,0.99878507997139,0.99949423542338,0.9990775418903302
luo,0.9994289860212318,0.99896103510611,0.998565815545286,0.9992369789627569,0.9990482039088462
lug,0.9997344543173063,0.9993109680938118,0.998917270039817,0.9972895744489174,0.9988130667249631
ibo,0.9991484555739042,0.9983863690165161,0.9986773936129141,0.99888086024178,0.9987732696112785
twi,0.9992308463435374,0.9984334638450082,0.9980316042713083,0.9992360925248753,0.9987330017461824
tsn,0.9992840441225337,0.9974780407071433,0.9988631147991458,0.9992932744686825,0.9987296185243764
zul,0.9989593936461959,0.9985035189428337,0.9980132214944424,0.9991198386237259,0.9986489931767996
wol,0.9989898979816403,0.9978797564104427,0.9984769346431231,0.9984931158100494,0.9984599262113139
ewe,0.9992032618707876,0.9978332854520117,0.9976242828131632,0.999045007673791,0.9984264594524384
xho,0.9991071380305547,0.998162395316885,0.9972722458015618,0.9988490679444259,0.9983477117733569
swa,0.9993523380653271,0.9982594813345723,0.9971009401047742,0.9980443820335058,0.9981892853845449
bam,0.9991805484479118,0.9973608982695318,0.998082823415602,0.9980083518950732,0.9981581555070297
mos,0.9992115203993236,0.9968302422618833,0.9977007666632541,0.9988428112744692,0.9981463351497326
pcm,0.9994555595275235,0.9984970692764822,0.9956883158974295,0.997863356931472,0.9978760754082269
yor,0.9984411390417475,0.9960350542358242,0.9971434950942014,0.998821733952641,0.9976103555811034
hau,0.9992229630812418,0.9970536537319069,0.9949254397575732,0.998344318592903,0.9973865937909062
fon,0.9988294640503642,0.9961637812672889,0.9937495130173244,0.9983152578152226,0.9967645040375499
bbj,0.9988318693352182,0.9951102482221958,0.9951547812044456,0.9973109587211876,0.9966019643707618
