,ORG,DATE,LOC,PER,Mean
lug,0.60156375,0.58259225,0.6167941,0.41049495,0.5528613
kin,0.58204854,0.5678985,0.6123315,0.4001578,0.5406091
nya,0.5650883,0.54493475,0.5606164,0.4101575,0.52019924
xho,0.54898393,0.585295,0.5723944,0.36355194,0.5175563
sna,0.55589545,0.578571,0.5590289,0.36888143,0.5155942
zul,0.5416957,0.531554,0.54209685,0.39685616,0.5030507
luo,0.52493,0.5246893,0.5537941,0.387101,0.49762857
tsn,0.5413344,0.52975833,0.50432515,0.3770764,0.48812357
wol,0.520575,0.5018084,0.5273694,0.39943895,0.48729795
ibo,0.4846505,0.5187059,0.5297643,0.3923837,0.4813761
hau,0.50241196,0.5281099,0.5081413,0.37860367,0.4793167
bam,0.48582855,0.5181436,0.5083613,0.37831968,0.47266328
twi,0.50418365,0.49432334,0.49600258,0.38111302,0.46890566
swa,0.49947926,0.49621782,0.4977377,0.37674555,0.4675451
ewe,0.48820683,0.4764025,0.4641795,0.35734272,0.44653288
mos,0.48838285,0.46038017,0.4889969,0.33813536,0.4439738
pcm,0.48496616,0.42248487,0.46903268,0.34449568,0.43024483
fon,0.45384666,0.40444815,0.45478967,0.3511275,0.416053
yor,0.40184733,0.44341594,0.42264485,0.32448375,0.39809796
bbj,0.40684277,0.40076318,0.40168256,0.34956372,0.38971308
