,LOC,PER,ORG,DATE,Mean
lug,0.82257086,0.8775673,0.83532405,0.7942281,0.83242255
kin,0.8036138,0.83610916,0.8100862,0.7887577,0.8096417
nya,0.79120076,0.8326212,0.80718076,0.7928239,0.8059566
luo,0.7899847,0.8213198,0.7945069,0.7864157,0.7980567
sna,0.7923116,0.7952834,0.80084926,0.78877825,0.7943056
tsn,0.75783104,0.8115287,0.79490805,0.77815807,0.7856065
wol,0.76227427,0.794953,0.78040373,0.76234496,0.774994
zul,0.7620971,0.78247094,0.7618667,0.7546381,0.7652682
ibo,0.7547642,0.7606131,0.74695367,0.7462448,0.752144
bam,0.7355268,0.7639425,0.7307616,0.756255,0.74662143
pcm,0.74100435,0.78516674,0.7404096,0.7173648,0.74598634
xho,0.7456022,0.7847724,0.7336292,0.71571434,0.74492955
ewe,0.73957646,0.7643366,0.7429264,0.7311244,0.744491
twi,0.7384241,0.7606305,0.7465723,0.7241659,0.7424482
mos,0.7334804,0.75874734,0.7465038,0.7224533,0.74029624
hau,0.7279342,0.75921845,0.7243797,0.7003679,0.7279751
yor,0.714871,0.7289553,0.72969544,0.7141817,0.72192585
swa,0.699262,0.74412674,0.71478194,0.7054441,0.7159037
bbj,0.6944499,0.7294306,0.7001922,0.69482386,0.7047242
fon,0.6932719,0.7223575,0.70976865,0.6874547,0.7032132
