,LOC,PER,ORG,DATE,Mean
twi,,0.9772495627403259,,,0.9772495627403259
swa,,0.9758350253105164,,,0.9758350253105164
pcm,0.9744236469268799,0.9732689261436462,,,0.9738462865352631
lug,,0.9712218046188354,0.9762052297592163,,0.9737135171890259
nya,,,0.9719047546386719,,0.9719047546386719
ewe,,0.9742782115936279,0.9687570333480835,,0.9715176224708557
fon,,0.9709182977676392,,,0.9709182977676392
wol,,,0.9708901047706604,,0.9708901047706604
sna,0.9690240621566772,0.9697990417480469,,,0.9694115519523621
mos,,0.9674097895622253,0.9699392914772034,,0.9686745405197144
tsn,0.9699545502662659,,0.9670394659042358,,0.9684970080852509
luo,,0.9709948897361755,0.9617303609848022,,0.9663626253604889
ibo,0.9624581933021545,,0.9695148468017578,,0.9659865200519562
hau,,0.9675576090812683,0.9629034399986267,,0.9652305245399475
bam,,,0.961262047290802,,0.961262047290802
kin,,,0.9587615728378296,,0.9587615728378296
yor,0.9417871832847595,,0.9675337076187134,,0.9546604454517365
xho,0.9574053287506104,0.9502619504928589,,,0.9538336396217346
zul,0.9479565024375916,,,,0.9479565024375916
bbj,0.9216340780258179,,0.966053307056427,,0.9438436925411224
