,ORG,LOC,PER,DATE
bam,0.973480761051178,0.9611329436302185,0.9825617074966431,
bbj,0.9812831282615662,0.9350926280021667,0.9801290035247803,
ewe,0.9866603016853333,0.9691435098648071,0.978238046169281,
fon,0.9871952533721924,0.9439930319786072,0.9817841649055481,
hau,0.9796171188354492,0.9538331031799316,0.9825767278671265,
ibo,0.9847885966300964,0.9354080557823181,0.9848587512969971,
kin,0.9910147190093994,0.9801152348518372,0.9799559712409973,
lug,0.9740834832191467,0.9814149737358093,0.980974018573761,
luo,0.9820888042449951,0.9788764715194702,0.9788605570793152,
mos,0.9869073033332825,0.957584798336029,0.985666036605835,
nya,0.9900116920471191,0.9556112289428711,0.9875573515892029,
pcm,0.9597512483596802,0.9775714874267578,0.9826503992080688,
sna,0.9835666418075562,0.9588177800178528,0.9774284958839417,
swa,0.9730661511421204,0.9781883358955383,0.9774718880653381,
tsn,0.9803239107131958,0.9691829085350037,0.9817861318588257,
twi,0.9921683073043823,0.9812389016151428,0.9857748746871948,
wol,0.9840229153633118,0.9424707889556885,0.9868676066398621,
xho,0.979066789150238,0.9526204466819763,0.9666582942008972,
yor,0.9809221029281616,0.9393784999847412,0.9779399633407593,
zul,0.9883920550346375,0.9676427245140076,0.9775071144104004,
