,LOC,ORG,DATE,PER,Mean
lug,0.76960886,0.76562345,0.6718937,0.7897097,0.7492089
kin,0.7432575,0.7180288,0.67798364,0.70950216,0.712193
nya,0.71449333,0.7103246,0.67225295,0.7379407,0.70875293
sna,0.71190906,0.7014785,0.68234855,0.696006,0.6979355
xho,0.694063,0.6967616,0.6864425,0.6425022,0.67994237
tsn,0.66564393,0.68724513,0.6558414,0.6850393,0.6734424
zul,0.6826379,0.66539705,0.6405706,0.6991964,0.67195046
luo,0.685663,0.6707305,0.6371116,0.6876828,0.67029697
wol,0.6518887,0.6611297,0.62907887,0.6617015,0.6509497
hau,0.63703895,0.6438893,0.6598491,0.6540872,0.6487161
ibo,0.6614058,0.63922006,0.61858064,0.6672492,0.6466139
twi,0.62651324,0.64958507,0.6043227,0.6441316,0.63113815
swa,0.626596,0.6283921,0.61264217,0.64310586,0.627684
ewe,0.61867845,0.6326726,0.6095619,0.63356376,0.6236192
bam,0.61653686,0.6089016,0.63255835,0.63433105,0.623082
mos,0.5916726,0.63230264,0.6059066,0.64866376,0.6196364
pcm,0.58075786,0.6016798,0.56351054,0.6071603,0.5882771
yor,0.5868318,0.5899373,0.5760799,0.5888229,0.585418
fon,0.57556397,0.5846775,0.5305322,0.6036267,0.5736001
bbj,0.5177731,0.547842,0.5489185,0.57822305,0.54818916
