,LOC,ORG,DATE,PER,Mean
lug,0.7518786,0.7070738,0.6716455,0.6072403,0.68445957
kin,0.7269759,0.67874557,0.68050295,0.5960468,0.67056775
nya,0.703551,0.69500464,0.6627657,0.59888494,0.6650516
sna,0.6921889,0.68387973,0.68892366,0.59466267,0.6649137
xho,0.67745847,0.6749327,0.6960687,0.5702315,0.65467286
tsn,0.65811014,0.67858994,0.658954,0.58387375,0.64488196
zul,0.6787483,0.6547976,0.6513479,0.5943313,0.64480627
luo,0.67504036,0.6597791,0.64602613,0.58739173,0.6420593
hau,0.6398949,0.63309056,0.6664275,0.5888539,0.6320667
wol,0.6457304,0.6459707,0.6370839,0.5876328,0.62910444
swa,0.6354845,0.6402209,0.63011813,0.5845329,0.6225891
ibo,0.652368,0.6188569,0.6180916,0.5885415,0.6194645
bam,0.62063885,0.6029557,0.6417523,0.5810192,0.6115915
twi,0.6179037,0.644596,0.59996235,0.5822303,0.6111731
mos,0.600297,0.6233194,0.6116123,0.58299124,0.604555
ewe,0.61595464,0.619099,0.6096846,0.57249516,0.60430837
yor,0.5883885,0.6001954,0.5766125,0.5624534,0.5819124
pcm,0.5797682,0.58394367,0.5558172,0.56328344,0.5707031
fon,0.5759497,0.5809675,0.52395314,0.56020993,0.5602701
bbj,0.5252639,0.52492785,0.5472143,0.55123526,0.53716034
