,ORG,LOC,PER,DATE,Mean
lug,0.8895614147186279,0.8939433693885803,0.8958577513694763,,0.8931208451588949
kin,0.9128023386001587,0.8938317894935608,0.8592991828918457,,0.8886444369951884
nya,0.8825816512107849,0.8097236752510071,0.9089739322662354,,0.8670930862426758
twi,0.8824369311332703,0.8504517674446106,0.863400399684906,,0.865429699420929
luo,0.8454216122627258,0.8680318593978882,0.8384644389152527,,0.8506393035252889
sna,0.8612233400344849,0.7830426096916199,0.8524817228317261,,0.8322492241859436
tsn,0.8684693574905396,0.7681792974472046,0.8417109847068787,,0.8261198798815409
ibo,0.8222679495811462,0.807988166809082,0.8471495509147644,,0.8258018891016642
zul,0.8814876675605774,0.7779064774513245,0.8167486190795898,,0.8253809213638306
hau,0.8512414693832397,0.7499095797538757,0.861381471157074,,0.8208441734313965
swa,0.8157451152801514,0.8164868950843811,0.8101611137390137,,0.8141310413678488
ewe,0.8084229230880737,0.7698713541030884,0.7923122644424438,,0.7902021805445353
wol,0.8255205750465393,0.685282826423645,0.8289225697517395,,0.7799086570739746
mos,0.7991859912872314,0.7380547523498535,0.8009934425354004,,0.7794113953908285
xho,0.8395845293998718,0.7617229223251343,0.7202069759368896,,0.7738381425539652
pcm,0.7369948029518127,0.7466630935668945,0.8249070048332214,,0.7695216337839762
bam,0.6966559886932373,0.8008401393890381,0.8008884787559509,,0.7661282022794088
fon,0.7368223071098328,0.7223284840583801,0.746379554271698,,0.7351767818133036
bbj,0.7292158007621765,0.6292054653167725,0.7487195730209351,,0.7023802796999613
yor,0.7165346741676331,0.612073540687561,0.6544510722160339,,0.661019762357076
