,LOC,DATE,PER,ORG
bam,0.9622841477394104,,0.9403921365737915,0.9436951279640198
bbj,0.8890454173088074,,0.9206320643424988,0.9257446527481079
ewe,0.9575747847557068,,0.9367809891700745,0.958652913570404
fon,0.9469781517982483,,0.9217342734336853,0.9257783889770508
hau,0.9802371859550476,,0.9537923336029053,0.9735792279243469
ibo,0.9768404364585876,,0.9482739567756653,0.9589200019836426
kin,0.9860955476760864,,0.9617753028869629,0.9794424772262573
lug,0.9723047614097595,,0.9640142321586609,0.9908897280693054
luo,0.9825924038887024,,0.960248589515686,0.9649413228034973
mos,0.9655084013938904,,0.9393895864486694,0.9630162715911865
nya,0.9879878163337708,,0.9685981273651123,0.9825310707092285
pcm,0.941586971282959,,0.9170251488685608,0.9228148460388184
sna,0.9843471050262451,,0.9545090198516846,0.9759078621864319
swa,0.9640107154846191,,0.9597318768501282,0.950834333896637
tsn,0.9805920124053955,,0.965358555316925,0.9723872542381287
twi,0.9719972610473633,,0.931487500667572,0.9730826020240784
wol,0.9750966429710388,,0.9580088257789612,0.9693441987037659
xho,0.9843196272850037,,0.9472732543945312,0.9804968237876892
yor,0.9514793753623962,,0.9445359706878662,0.9447593688964844
zul,0.9766958951950073,,0.9638391137123108,0.9802680015563965
