,DATE,PER,ORG,LOC,Mean
twi,,0.9999989058994831,0.9999977707460261,0.9999965926105426,0.999997756418684
ibo,,,0.999997594951627,0.9999978803212927,0.9999977376364598
pcm,,0.9999987439447284,,0.9999965768834076,0.999997660414068
bbj,,0.999997777263443,0.9999973119541277,0.9999974733947465,0.9999975208707724
hau,,0.9999986342936138,,0.9999960340590449,0.9999973341763293
xho,,0.999999129411618,0.99999434842946,0.9999979646284017,0.9999971474898266
nya,,0.999998756416337,0.9999947533839681,0.999997911110219,0.999997140303508
tsn,,,0.9999981542440678,0.9999960326669598,0.9999970934555138
mos,,0.9999982976783657,0.999996969071887,0.9999952094395602,0.9999968253966043
lug,,0.999995998431462,0.9999956900408541,0.9999983493979873,0.999996679290101
fon,,0.9999968617796153,0.999993685989748,0.9999973444555725,0.9999959640749786
bam,,,0.9999974136777587,0.9999943354886072,0.999995874583183
sna,,0.9999934213454139,0.9999960522051705,0.999997242259283,0.9999955719366224
yor,,,0.999996728767047,0.9999939112018343,0.9999953199844407
swa,,0.9999975672789231,0.9999915715855282,0.9999959689459018,0.9999950359367844
wol,,,0.9999889317923768,0.9999966432598989,0.9999927875261378
kin,,0.9999993059493206,0.9999857226169956,,0.999992514283158
luo,,0.9999935082678264,0.9999848633910497,0.9999962677138492,0.9999915464575752
zul,,,0.999984029742287,0.9999940863891873,0.9999890580657371
ewe,,0.9999948105758826,0.9999807661475626,,0.9999877883617225
