,LOC,ORG,DATE,PER,Mean
lug,0.9996028,0.9993608,0.999341,0.9943713,0.99816895
kin,0.999434,0.9990368,0.99927425,0.99405885,0.997951
nya,0.9993072,0.9989955,0.9993278,0.99405557,0.9979215
sna,0.9993082,0.99900526,0.9992871,0.99341965,0.99775505
luo,0.9993025,0.99888015,0.99925035,0.9932557,0.99767214
tsn,0.9989269,0.99883515,0.99912876,0.993752,0.9976607
zul,0.998948,0.9983658,0.998618,0.99408615,0.9975045
wol,0.99870825,0.9985691,0.9988563,0.9934744,0.997402
twi,0.99840176,0.9980257,0.99802977,0.99426544,0.9971807
ibo,0.9987609,0.9978343,0.9984641,0.99332565,0.99709624
bam,0.9981947,0.99757755,0.99872893,0.99371123,0.9970531
ewe,0.9982459,0.99808025,0.9981311,0.9936692,0.9970316
xho,0.99840283,0.99771523,0.99741834,0.9939584,0.99687374
pcm,0.9983449,0.99807763,0.99784166,0.9929953,0.99681485
mos,0.9980905,0.9979047,0.9978116,0.9931034,0.9967276
swa,0.99679744,0.9974089,0.997472,0.9947457,0.99660605
hau,0.99833286,0.99766177,0.9966072,0.9934158,0.9965044
yor,0.9975381,0.997336,0.9976276,0.99297506,0.9963692
bbj,0.99659324,0.9964113,0.996776,0.99304265,0.9957058
fon,0.9963215,0.99693555,0.99595875,0.99300736,0.9955558
