,PER,DATE,LOC,ORG
bam,0.9399151802062988,0.9460424184799194,0.9011328220367432,0.8679510354995728
bbj,0.9284986853599548,0.8843622207641602,0.8046467304229736,0.9072458744049072
ewe,0.9213453531265259,0.8396387696266174,0.9030019044876099,0.9398906230926514
fon,0.9218047261238098,0.8947319984436035,0.8698086738586426,0.9205359220504761
hau,0.9528273344039917,0.9432618021965027,0.8758268356323242,0.955790638923645
ibo,0.9481457471847534,0.9577165246009827,0.8870431780815125,0.9456004500389099
kin,0.9595726728439331,0.9473680853843689,0.9490055441856384,0.9660744071006775
lug,0.9313545227050781,0.9362993836402893,0.9409053325653076,0.9607073664665222
luo,0.9322226643562317,0.9540731310844421,0.9382426738739014,0.9484951496124268
mos,0.9368312358856201,0.8800185322761536,0.8987370729446411,0.937645673751831
nya,0.9484866857528687,0.9320577383041382,0.875345766544342,0.9646676182746887
pcm,0.9377958178520203,0.7958607077598572,0.9080634117126465,0.9079515337944031
sna,0.9514925479888916,0.9477860331535339,0.8692876696586609,0.9442828297615051
swa,0.8934217691421509,0.8729788661003113,0.9035491347312927,0.9033471941947937
tsn,0.9387682676315308,0.9498772621154785,0.9037842154502869,0.9393392205238342
twi,0.9518294334411621,0.9271707534790039,0.9371195435523987,0.9621583223342896
wol,0.9464190006256104,0.9446506500244141,0.8866630792617798,0.940397322177887
xho,0.8792688846588135,0.961308479309082,0.8586891293525696,0.9378909468650818
yor,0.8744907975196838,0.8846577405929565,0.8093982338905334,0.9190809726715088
zul,0.9047566056251526,0.9418871998786926,0.8836261630058289,0.9547522664070129
