,1,2,3,4,5,6,7,8,9,10,11,12
bam,7.0,6.0,2.0,2.0,6.0,6.0,9.0,2.0,4.0,4.0,5.0,2.0
bbj,14.0,8.0,6.0,6.0,6.0,5.0,14.0,2.0,7.0,2.0,4.0,8.0
ewe,10.0,5.0,12.0,12.0,6.0,5.0,14.0,11.0,15.0,3.0,4.0,12.0
fon,1.0,2.0,0.0,5.0,2.0,2.0,11.0,9.0,15.0,14.0,1.0,0.0
hau,7.0,7.0,1.0,7.0,4.0,2.0,9.0,9.0,8.0,4.0,5.0,2.0
ibo,3.0,1.0,5.0,8.0,5.0,2.5,12.0,4.0,13.0,12.0,5.0,4.0
kin,1.0,0.0,1.0,0.0,2.0,2.0,14.0,3.0,14.0,4.5,14.0,2.0
lug,1.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,2.0,13.0,9.0,6.0
luo,4.0,1.0,7.0,2.0,2.0,2.0,3.0,1.0,1.0,10.0,6.0,2.0
mos,1.0,1.0,7.0,8.0,3.0,3.5,1.0,4.0,3.0,1.0,1.0,8.0
pcm,12.0,3.0,1.0,1.0,3.0,2.0,14.0,5.0,14.0,1.0,6.0,18.0
nya,1.0,2.0,2.0,2.0,0.0,0.0,8.0,2.0,6.5,7.0,6.0,5.0
sna,5.0,6.0,8.0,5.5,8.0,8.0,2.0,7.0,1.5,8.0,7.0,7.0
swa,2.0,7.0,9.0,9.0,7.0,6.0,7.0,7.0,2.0,9.0,8.0,5.0
tsn,12.0,11.0,1.0,7.0,11.0,11.5,7.0,10.0,9.0,0.0,0.0,6.0
twi,4.0,4.0,4.5,9.0,11.0,11.0,6.0,6.0,9.0,6.0,4.0,1.0
wol,10.0,6.0,4.0,8.0,7.0,5.0,11.0,8.0,11.0,0.0,4.0,11.0
xho,4.0,5.0,9.0,3.0,7.0,6.5,11.0,9.0,10.0,6.5,7.0,7.0
yor,2.0,1.0,4.5,4.0,3.0,2.0,2.0,4.0,7.0,4.0,4.0,0.0
zul,1.0,0.0,3.0,4.5,1.0,0.0,0.0,0.0,2.0,2.0,4.0,12.0
