,1,2,3,4,5,6,7,8,9,10,11,12
bam,0.0,0.0,0.0,-1.0,-1.0,-2.0,3.0,-4.0,-4.0,-5.0,-4.0,-3.0
bbj,4.0,6.0,3.0,7.0,3.0,2.0,2.0,5.0,0.0,4.0,3.0,5.0
ewe,8.0,7.0,7.0,7.0,10.0,9.0,9.0,12.0,7.0,11.0,10.0,10.0
fon,-10.0,-10.0,-5.0,-11.0,-10.0,-5.0,-11.0,-10.0,-9.0,-3.0,-5.0,-5.0
hau,-13.0,-16.0,-15.0,-14.0,-15.0,-15.0,-11.0,-10.0,-10.0,-8.0,-6.0,-8.0
ibo,8.0,7.0,6.0,1.0,0.0,3.0,1.0,3.0,6.0,-4.0,-1.0,0.0
kin,1.0,1.0,1.0,1.0,1.0,1.0,-2.0,1.0,-1.0,-3.0,-3.0,0.0
lug,-4.0,-10.0,-10.0,-3.0,-3.0,-5.0,-2.0,-3.0,-7.0,-3.0,-5.0,-5.0
luo,7.0,10.0,11.0,11.0,11.0,11.0,12.0,11.0,12.0,11.0,10.0,11.0
mos,0.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,6.0,7.0,5.0
pcm,4.0,2.0,0.0,4.0,7.0,6.0,4.0,9.0,5.0,11.0,15.0,14.0
nya,-6.0,0.0,-2.0,-1.0,-1.0,0.0,-1.0,-3.0,-2.0,-4.0,-4.0,0.0
sna,-3.0,0.0,1.0,-2.0,0.0,-1.0,-1.0,-3.0,-3.0,-6.0,-5.0,-7.0
swa,-5.0,-9.0,-9.0,-9.0,-11.0,-8.0,-10.0,-10.0,-8.0,1.0,1.0,-6.0
tsn,10.0,5.0,8.0,5.0,5.0,9.0,8.0,7.0,7.0,3.0,5.0,5.0
twi,2.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0
wol,6.0,5.0,3.0,5.0,0.0,-2.0,1.0,1.0,3.0,-5.0,-4.0,-8.0
xho,3.0,3.0,2.0,1.0,3.0,1.0,-1.0,0.0,-2.0,-3.0,-4.0,-1.0
yor,-9.0,-8.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-5.0,-7.0,-7.0,-8.0
zul,-3.0,1.0,1.0,2.0,2.0,-2.0,0.0,-3.0,2.0,-1.0,-8.0,-4.0
