model,metric,setting,layer,rho,n_effective,n_langs,ci_low,ci_high
mbert,swd,co_train,6,0.5000091552245441,20,20,,
mbert,swd,zero_shot,7,0.4947368421052631,20,20,,
mbert,swd,co_train,7,0.5612810789358724,20,20,,
mbert,swd,zero_shot,8,0.524812030075188,20,20,,
mbert,swd,co_train,8,0.4788287371514922,20,20,,
mbert,swd,zero_shot,9,0.5819548872180451,20,20,,
mbert,swd,co_train,9,0.5363184433497756,20,20,,
mbert,swd,zero_shot,10,0.3278195488721804,20,20,,
mbert,swd,co_train,10,0.02798840959653272,20,20,,
mbert,swd,zero_shot,11,0.23609022556390977,20,20,,
mbert,swd,co_train,11,0.17246911859485028,20,20,,
mbert,swd,zero_shot,12,0.21654135338345865,20,20,,
mbert,swd,co_train,12,0.201970415196601,20,20,,
xlmr,core,zero_shot,1,0.3398496240601503,20,20,,
xlmr,core,co_train,1,0.4486983939113998,20,20,,
xlmr,core,zero_shot,2,0.6375939849624059,20,20,,
xlmr,core,co_train,2,0.5566902107510927,20,20,,
xlmr,core,zero_shot,3,0.5408048520847241,20,20,,
xlmr,core,co_train,3,0.5584211945116594,20,20,,
xlmr,core,zero_shot,4,0.43249344916372234,20,20,,
xlmr,core,co_train,4,0.49755784906079736,20,20,,
xlmr,core,zero_shot,5,0.5172932330827067,20,20,,
xlmr,core,co_train,5,0.6000390386374482,20,20,,
xlmr,core,zero_shot,6,0.5862863512906835,20,20,,
xlmr,core,co_train,6,0.6337917545596534,20,20,,
xlmr,core,zero_shot,7,-0.2556390977443609,20,20,,
xlmr,core,co_train,7,-0.20381554164111043,20,20,,
xlmr,core,zero_shot,8,0.4300751879699248,20,20,,
xlmr,core,co_train,8,0.4251227155872415,20,20,,
xlmr,core,zero_shot,9,-0.232418218767983,20,20,,
xlmr,core,co_train,9,0.05477701090577586,20,20,,
xlmr,core,zero_shot,10,0.2715306698227892,20,20,,
xlmr,core,co_train,10,0.18791557907953665,20,20,,
xlmr,core,zero_shot,11,0.4586466165413533,20,20,,
xlmr,core,co_train,11,-0.010647080533490843,20,20,,
xlmr,core,zero_shot,12,0.16240601503759397,20,20,,
xlmr,core,co_train,12,0.2950762319281748,20,20,,
xlmr,swd,zero_shot,1,0.5714285714285714,20,20,,
xlmr,swd,co_train,1,0.2684585305944477,20,20,,
xlmr,swd,zero_shot,2,0.5263157894736841,20,20,,
xlmr,swd,co_train,2,0.2676980248420555,20,20,,
xlmr,swd,zero_shot,3,0.4526315789473684,20,20,,
xlmr,swd,co_train,3,0.3156098872427643,20,20,,
xlmr,swd,zero_shot,4,0.49323308270676686,20,20,,
xlmr,swd,co_train,4,0.22663071421287653,20,20,,
xlmr,swd,zero_shot,5,0.5353383458646617,20,20,,
xlmr,swd,co_train,5,0.2943157261757826,20,20,,
xlmr,swd,zero_shot,6,0.512781954887218,20,20,,
xlmr,swd,co_train,6,0.2555299328037802,20,20,,
xlmr,swd,zero_shot,7,0.6345864661654135,20,20,,
xlmr,swd,co_train,7,0.1528616562308328,20,20,,
xlmr,swd,zero_shot,8,0.5353383458646617,20,20,,
xlmr,swd,co_train,8,0.26465600183248666,20,20,,
xlmr,swd,zero_shot,9,0.4766917293233082,20,20,,
xlmr,swd,co_train,9,0.33690404830974596,20,20,,
xlmr,swd,zero_shot,10,0.38646616541353385,20,20,,
xlmr,swd,co_train,10,-0.14981963322126401,20,20,,
xlmr,swd,zero_shot,11,0.33383458646616543,20,20,,
xlmr,swd,co_train,11,0.020533655314589484,20,20,,
xlmr,swd,zero_shot,12,0.17593984962406017,20,20,,
xlmr,swd,co_train,12,-0.05399590841984642,20,20,,
