,DATE,LOC,PER,ORG
bam,0.9999995827674866,0.9999994039535522,0.9999995827674866,0.9999995231628418
bbj,0.9999991655349731,0.9999991655349731,0.9999993443489075,0.9999992251396179
ewe,0.999999463558197,0.9999995827674866,0.9999995827674866,0.9999997019767761
fon,0.9999989867210388,0.999999463558197,0.9999991655349731,0.999999463558197
hau,0.9999993443489075,0.9999995827674866,0.9999995231628418,0.999999463558197
ibo,0.9999997019767761,0.9999996423721313,0.9999997019767761,0.9999996423721313
kin,0.9999995827674866,0.9999996423721313,0.9999993443489075,0.9999997019767761
lug,0.9999995827674866,0.9999997019767761,0.9999996423721313,0.9999997019767761
luo,0.9999995827674866,0.9999997615814209,0.9999995827674866,0.999999463558197
mos,0.9999988675117493,0.9999994039535522,0.9999995827674866,0.9999994039535522
nya,0.9999996423721313,0.9999997615814209,0.9999997019767761,0.9999997615814209
pcm,0.9999988079071045,0.9999992251396179,0.9999993443489075,0.9999990463256836
sna,0.9999994039535522,0.9999997019767761,0.9999997019767761,0.9999996423721313
swa,0.9999991655349731,0.9999992251396179,0.9999994039535522,0.9999993443489075
tsn,0.9999995827674866,0.9999994039535522,0.9999997615814209,0.9999997019767761
twi,0.9999995231628418,0.9999997615814209,0.9999995231628418,0.9999997615814209
wol,0.9999993443489075,0.999999463558197,0.9999994039535522,0.9999994039535522
xho,0.9999995827674866,0.9999995827674866,0.9999995231628418,0.999999463558197
yor,0.9999993443489075,0.9999992251396179,0.9999991655349731,0.9999994039535522
zul,0.999999463558197,0.999999463558197,0.9999995827674866,0.9999995231628418
