,PER,DATE,ORG,LOC,Mean
lug,0.62166667,0.7722568,0.8334036,0.8441074,0.7678586
kin,0.62457323,0.78048754,0.8326536,0.78390455,0.7554047
twi,0.6261934,0.7772434,0.8307982,0.7759268,0.75254047
luo,0.6280727,0.7596334,0.8304938,0.7919233,0.75253075
ibo,0.6241933,0.79104245,0.8225304,0.75022525,0.7469979
nya,0.62368584,0.760538,0.83741915,0.73847574,0.7400297
swa,0.62641233,0.7191305,0.8256061,0.7825241,0.7384183
sna,0.62169963,0.7746015,0.8079699,0.7414545,0.73643136
tsn,0.62713647,0.7623409,0.7852423,0.7660115,0.7351828
pcm,0.62924075,0.711374,0.8167283,0.7642618,0.7304012
xho,0.62257737,0.8030541,0.7622432,0.73218966,0.7300161
ewe,0.6321237,0.7341145,0.8072666,0.74223787,0.72893566
zul,0.61885643,0.75428224,0.7996958,0.7425469,0.72884536
wol,0.6243381,0.76236045,0.7956691,0.72602767,0.7270988
hau,0.6259841,0.7593548,0.79008985,0.7177478,0.72329414
yor,0.6232934,0.77032447,0.7692107,0.7227218,0.72138757
fon,0.6282783,0.72976005,0.7926367,0.7314753,0.7205376
mos,0.6239029,0.74608517,0.8000848,0.70734495,0.7193545
bbj,0.62547046,0.7455753,0.77953804,0.71839565,0.71724486
bam,0.6211983,0.74288607,0.7573754,0.7229353,0.7110988
