,LOC,PER,DATE,ORG,Mean
ewe,0.9991769,0.99887913,0.99372834,0.99926734,0.9977629
hau,0.99926984,0.99976325,0.99192405,0.99923944,0.9975492
tsn,0.99919283,0.9989071,0.99101824,0.9992215,0.9970849
bam,0.9983761,0.99920106,0.99181116,0.9983265,0.99692875
lug,0.99954844,0.9999285,0.9880902,0.9999158,0.99687076
sna,0.99915683,0.99833274,0.98944354,0.99987924,0.99670315
pcm,0.9989757,0.99934393,0.98846805,0.99966776,0.99661386
luo,0.99952304,0.99934953,0.98760116,0.99972445,0.9965495
swa,0.998626,0.9993322,0.9884522,0.99905366,0.996366
kin,0.99976444,0.99977523,0.9849218,0.99987304,0.9960836
yor,0.9976308,0.99822813,0.9888076,0.9991964,0.9959657
twi,0.999066,0.9989803,0.98616225,0.99955124,0.99593997
wol,0.9980632,0.9994329,0.98663306,0.999591,0.9959301
mos,0.99828684,0.9993524,0.9860482,0.9994654,0.9957882
xho,0.9971439,0.9948412,0.9976153,0.99289215,0.9956231
zul,0.99162054,0.99437475,0.9986364,0.9970323,0.99541605
ibo,0.99899274,0.99953663,0.98146594,0.9995613,0.99488914
nya,0.9992908,0.99336445,0.9865627,0.9998595,0.9947694
bbj,0.9975642,0.99933684,0.9827322,0.9990849,0.9946796
fon,0.99800265,0.99430436,0.98337126,0.9977156,0.9933485
