,PER,LOC,ORG,DATE,Mean
lug,0.62147516,0.8136338,0.8123627,0.76666903,0.75353515
luo,0.6291132,0.7989167,0.82497823,0.75487226,0.7519701
kin,0.6222631,0.79008704,0.8244134,0.7703967,0.75179005
twi,0.62862045,0.7764044,0.82935554,0.7705303,0.7512276
ibo,0.6239392,0.7558768,0.82082635,0.7974647,0.74952674
tsn,0.62557554,0.7659701,0.80562055,0.7614089,0.7396438
swa,0.6258806,0.78562546,0.81735235,0.7259977,0.73871404
nya,0.6206245,0.7464386,0.8261181,0.75457466,0.73693895
sna,0.6217374,0.7386614,0.79898,0.7721758,0.73288864
pcm,0.62919027,0.76214874,0.8110803,0.7130245,0.728861
ewe,0.63104165,0.74957895,0.79894793,0.73290044,0.7281172
xho,0.62050235,0.73520315,0.75035334,0.7979584,0.7260043
zul,0.61712074,0.7450989,0.7818701,0.75869083,0.72569513
wol,0.6228961,0.728083,0.7826177,0.7613054,0.72372556
yor,0.62584555,0.71540225,0.7686175,0.7717328,0.7203995
hau,0.6269225,0.70925474,0.786425,0.75396,0.7191405
fon,0.6294588,0.7217094,0.78734803,0.73207766,0.71764845
mos,0.6251343,0.7139518,0.7916304,0.7337339,0.71611255
bbj,0.6260081,0.71712065,0.78078794,0.73974806,0.71591616
bam,0.62055093,0.7417129,0.74865,0.7306714,0.71039635
