,DATE,PER,ORG,LOC,Mean
lug,0.76838404,0.8701969,0.8457484,0.8644358,0.8371912
kin,0.77707785,0.8437575,0.8613055,0.7787992,0.815235
luo,0.75618947,0.84833753,0.8556901,0.7916205,0.8129594
ibo,0.7915268,0.8243715,0.848929,0.7485376,0.8033412
twi,0.77254903,0.8065519,0.8536037,0.77647,0.8022936
swa,0.7152334,0.8416109,0.8405304,0.7922088,0.7973958
tsn,0.7606184,0.8311323,0.8039044,0.76325077,0.7897265
nya,0.75311124,0.7892944,0.8699348,0.737602,0.7874856
pcm,0.70654535,0.82849836,0.83340245,0.7685791,0.78425634
wol,0.76284397,0.81347984,0.82188356,0.7234961,0.7804258
mos,0.7420541,0.8355017,0.8256633,0.70890075,0.77803
xho,0.80016327,0.8015202,0.7743336,0.725281,0.7753245
ewe,0.72927016,0.79322743,0.83502555,0.7423653,0.77497214
sna,0.7716012,0.7546644,0.829118,0.7416851,0.7742672
zul,0.7532685,0.7805921,0.8243828,0.73495257,0.773299
hau,0.755961,0.8131652,0.80126095,0.71855414,0.7722353
fon,0.71841973,0.7982349,0.8175349,0.733192,0.76684535
bbj,0.7367215,0.81508005,0.7953696,0.7150518,0.76555574
bam,0.7398632,0.814896,0.77077615,0.72702193,0.7631393
yor,0.76280236,0.7607566,0.78300315,0.71916854,0.75643265
