,DATE,PER,LOC,ORG,Mean
lug,0.7742637,0.88324916,0.73006076,0.81631386,0.80097187
kin,0.7801099,0.819546,0.73537815,0.8167454,0.7879448
nya,0.75565886,0.8344027,0.7299823,0.80437505,0.7811047
sna,0.77387327,0.7859696,0.744354,0.7986435,0.7757101
luo,0.7668828,0.8115492,0.73408926,0.78439677,0.7742295
tsn,0.76592124,0.81447077,0.7150627,0.7912715,0.77168155
wol,0.76957715,0.8083763,0.733557,0.77228737,0.7709495
ibo,0.76166385,0.8105361,0.7247461,0.76887554,0.7664554
twi,0.737194,0.81426466,0.7153808,0.7881324,0.763743
ewe,0.73577267,0.8055551,0.71563745,0.7800027,0.75924194
pcm,0.702034,0.81836617,0.7270255,0.77106863,0.75462353
xho,0.73483884,0.77261066,0.7300067,0.7704432,0.7519749
zul,0.74380094,0.770597,0.71741784,0.770659,0.7506187
swa,0.72202563,0.8104528,0.72079164,0.7389382,0.7480521
mos,0.7176231,0.7907431,0.7189285,0.763651,0.74773645
bam,0.7216003,0.80176294,0.71907765,0.73848855,0.74523234
hau,0.69526374,0.7875973,0.71444523,0.74934113,0.7366618
fon,0.6860025,0.79847693,0.69902515,0.7565874,0.735023
yor,0.7357044,0.76387656,0.69897103,0.7402547,0.7347017
bbj,0.7017804,0.8030339,0.69546956,0.7291665,0.73236257
