Language,Cosine_Similarity
lug,0.96532047
twi,0.94169194
kin,0.9408424
swa,0.9298942
luo,0.9264765
ewe,0.923756
bam,0.9220043
ibo,0.91592455
nya,0.91494304
pcm,0.90931
tsn,0.90861166
mos,0.87929106
hau,0.87657017
sna,0.8639768
xho,0.86094904
zul,0.8605825
wol,0.8564421
fon,0.83594614
bbj,0.8194968
yor,0.6667439
