,LOC,ORG,DATE,PER,Mean
kin,0.55679613,0.58819973,0.5764374,0.3814138,0.5257118
lug,0.5504017,0.5930258,0.56235015,0.3821519,0.5219824
sna,0.53678554,0.57141036,0.5867822,0.34585196,0.51020753
xho,0.52322847,0.56305873,0.5913192,0.35274154,0.507587
nya,0.49193978,0.5859333,0.5383803,0.3772861,0.49838486
luo,0.52790743,0.5604946,0.52179193,0.37276238,0.4957391
zul,0.5113791,0.5516463,0.5193812,0.3705901,0.4882492
wol,0.4982853,0.5415473,0.5178276,0.37209356,0.48243842
twi,0.5007216,0.5548682,0.4948007,0.3633439,0.4784336
hau,0.4847355,0.5172465,0.5379868,0.36687434,0.47671077
tsn,0.4674144,0.53969663,0.52558404,0.36844027,0.47528383
ibo,0.52222097,0.5095617,0.52397466,0.33951184,0.4738173
swa,0.4759282,0.5263902,0.50675136,0.38269937,0.47294226
bam,0.5012636,0.4851026,0.504394,0.3341753,0.45623386
ewe,0.4607125,0.4983477,0.45591128,0.3379422,0.43822843
mos,0.45824686,0.52544385,0.4447422,0.32094422,0.43734428
pcm,0.46550295,0.5085285,0.3962405,0.36308393,0.43333897
fon,0.44702473,0.49383855,0.41708747,0.32238036,0.42008275
yor,0.41353205,0.43353707,0.4369584,0.2971519,0.39529487
bbj,0.40249658,0.41352057,0.41592726,0.33650666,0.3921128
