,LOC,DATE,PER,ORG,Mean
lug,0.7794013,0.6669464,0.7939656,0.7465445,0.7467145
kin,0.7399838,0.67665875,0.71401405,0.7129445,0.7109003
nya,0.7102608,0.66152465,0.73856336,0.717057,0.7068514
sna,0.7091756,0.67783797,0.69020057,0.6962614,0.6933689
xho,0.6871744,0.68380755,0.6477154,0.67654026,0.6738094
luo,0.68810636,0.62619567,0.70198065,0.67585444,0.67303425
tsn,0.65992504,0.6452901,0.67959595,0.6806126,0.6663559
zul,0.67937696,0.6295594,0.69813335,0.65650916,0.6658947
wol,0.65124214,0.6285064,0.6655563,0.6563238,0.6504072
ibo,0.66296893,0.6249807,0.67739254,0.63093066,0.6490682
hau,0.6367605,0.65392953,0.6591555,0.6414936,0.6478348
twi,0.62785566,0.61223334,0.6656868,0.663935,0.6424277
swa,0.63863146,0.6157103,0.6729686,0.63784707,0.64128935
ewe,0.6223481,0.60471916,0.6413202,0.63704467,0.62635803
bam,0.6259366,0.6255156,0.6420729,0.6114061,0.6262328
mos,0.59714943,0.6046123,0.658317,0.6369584,0.6242593
pcm,0.5838441,0.5557318,0.6206254,0.6001614,0.5900907
yor,0.58919585,0.5734376,0.59550387,0.5939934,0.58803266
fon,0.57585824,0.5307673,0.6138395,0.59253675,0.57825047
bbj,0.5170022,0.55264777,0.5897758,0.5557315,0.5537893
