,ORG,PER,DATE,LOC,Mean
sna,0.87557626,0.7071328,0.66567785,0.68996775,0.7345886
wol,0.8049638,0.6802658,0.64732647,0.79725754,0.73245335
tsn,0.7574742,0.7029665,0.6786283,0.77526724,0.72858405
nya,0.8354668,0.7355796,0.6468991,0.69500333,0.7282372
lug,0.8679395,0.6695585,0.6561706,0.7061866,0.7249638
kin,0.8437496,0.675835,0.6385199,0.7227881,0.7202231
zul,0.68834984,0.75274885,0.7531879,0.68561935,0.7199765
ewe,0.76368463,0.6855384,0.70210564,0.71187854,0.7158018
luo,0.80834407,0.6916918,0.65313685,0.7080571,0.7153075
hau,0.7997266,0.65398633,0.6806853,0.7093341,0.7109331
pcm,0.8048438,0.6904336,0.65715545,0.6869453,0.7098446
twi,0.806865,0.685572,0.64371914,0.7008272,0.7092458
xho,0.6424719,0.7447941,0.68800014,0.76119554,0.7091154
mos,0.7934729,0.67891026,0.64328694,0.6720056,0.69691896
ibo,0.7950648,0.67747366,0.6241131,0.6878698,0.69613034
yor,0.77007556,0.6887978,0.6595785,0.66286415,0.695329
swa,0.74849516,0.6916527,0.65588164,0.68178785,0.6944543
bam,0.7243906,0.6817501,0.6852032,0.67968637,0.69275755
fon,0.70425135,0.7242165,0.630406,0.698139,0.6892532
bbj,0.767748,0.66096604,0.628381,0.66192615,0.67975533
